,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,OliverWyman-Navigator,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,352,273.0,,196.0,,,,368.0,331.6,257.9,,526.0,,329.3,,,,-79.0,,-156.0,,,,16.0,-20.4,-94.1,,174.0,,-22.7,,,,,False,,,,True,True,False,,False,,True,,,
01003,1814,921.0,,6808.0,,,,556.0,365.0,1121.7,,1108.0,,1640.3,,,,-893.0,,4994.0,,,,-1258.0,-1449.0,-692.3,,-706.0,,-173.7,,,,,False,,,,False,False,True,,True,,True,,,
01005,207,99.0,,220.0,,,,70.0,155.1,45.9,,281.0,,,,,,-108.0,,13.0,,,,-137.0,-51.9,-161.1,,74.0,,,,,,,True,,,,False,True,False,,True,,,,,
01007,128,87.0,,213.0,,,,72.0,67.1,50.8,,176.0,,,,,,-41.0,,85.0,,,,-56.0,-60.9,-77.2,,48.0,,,,,,,False,,,,False,False,False,,False,,,,,
01009,414,135.0,,252.0,,,,172.0,130.8,91.0,,225.0,,,,,,-279.0,,-162.0,,,,-242.0,-283.2,-323.0,,-189.0,,,,,,,True,,,,True,False,False,,True,,,,,
01011,48,42.0,,110.0,,,,53.0,56.7,6.3,,,,,,,,-6.0,,62.0,,,,5.0,8.7,-41.7,,,,,,,,,False,,,,True,False,False,,,,,,,
01013,94,81.0,,315.0,,,,389.0,120.0,41.1,,,,,,,,-13.0,,221.0,,,,295.0,26.0,-52.9,,,,,,,,,False,,,,False,False,False,,,,,,,
01015,723,285.0,,1871.0,,,,364.0,219.5,337.0,,401.0,,,,,,-438.0,,1148.0,,,,-359.0,-503.5,-386.0,,-322.0,,,,,,,False,,,,True,False,True,,True,,,,,
01017,186,231.0,,304.0,,,,151.0,80.4,134.1,,514.0,,,,,,45.0,,118.0,,,,-35.0,-105.6,-51.9,,328.0,,,,,,,False,,,,True,False,False,,False,,,,,
01019,108,57.0,,157.0,,,,36.0,65.1,27.6,,100.0,,,,,,-51.0,,49.0,,,,-72.0,-42.9,-80.4,,-8.0,,,,,,,True,,,,False,True,False,,True,,,,,
