,predicted_cases,actual_cases,error,perc_error
Columbia_UNC-SurvCon,2329566.0,2243485,86081.0,3.8%
CovidAnalytics-DELPHI,2138351.0,2243485,-105134.0,-4.7%
USACE-ERDC_SEIR,2398686.0,2243485,155201.0,6.9%
LANL-GrowthRate,1820794.0,2243485,-422691.0,-18.8%
COVIDhub-baseline,2792928.0,2243485,549443.0,24.5%
IowaStateLW-STEM,3129361.0,2243485,885876.0,39.5%
UCLA-SuEIR,3175641.3,2243485,932156.3,41.5%
USC-SI_kJalpha,3457567.3,2243485,1214082.3,54.1%
Covid19Sim-Simulator,3641664.5,2243485,1398179.5,62.3%
IHME-CurveFit,4366357.7,2243485,2122872.7,94.6%
