,count,mean,median,std,min,25%,75%,max
Karlen-pypm,51,17958.5,9336.6,20704.4,170.8,4442.1,24451.6,86495.0
DDS-NBDS,51,19154.0,10662.4,21758.1,429.4,4057.3,27355.8,100681.4
CU-select,51,19548.8,10249.0,20577.4,401.0,5380.0,29250.0,98549.0
JHU_CSSE-DECOM,51,21562.0,12035.2,24509.2,281.6,4771.0,32625.7,132332.1
LNQ-ens1,51,21679.4,11361.9,23541.4,235.6,5995.2,31597.0,103631.1
BPagano-RtDriven,51,22037.5,14029.1,22677.2,326.2,3533.2,33429.9,89598.0
UMich-RidgeTfReg,50,22604.8,10127.7,26912.8,531.1,4557.4,35212.4,130169.7
RobertWalraven-ESG,51,22612.5,11893.1,23607.2,536.4,5729.7,35371.9,88114.3
JCB-PRM,51,24716.2,14566.5,26684.2,615.7,5402.0,36956.6,140519.2
COVIDhub-baseline,51,24906.4,13075.0,25800.0,304.0,7425.0,36869.0,123859.0
USC-SI_kJalpha,51,24983.4,15152.0,25721.1,213.0,8198.0,35034.0,107266.0
CEID-Walk,51,25039.9,13327.4,26524.5,318.4,7385.1,37411.6,124579.8
JHUAPL-Bucky,51,25400.8,15029.3,28706.5,20.9,4128.8,39205.8,144148.1
COVIDhub-ensemble,51,26454.2,13534.0,27177.8,339.0,7619.5,39167.5,130199.0
MSRA-DeepST,47,26837.8,13664.6,30239.2,156.9,6151.7,41742.8,152108.3
Covid19Sim-Simulator,51,28737.8,17730.1,29020.9,120.4,8357.8,44977.2,135942.2
IowaStateLW-STEM,49,31259.6,19057.0,31231.5,626.0,8782.0,46345.0,156331.0
JHU_IDD-CovidSP,51,31982.8,22473.2,31150.9,397.8,9851.9,44893.6,151500.0
LANL-GrowthRate,51,33822.4,22153.3,33328.1,723.4,12108.3,49437.0,141301.1
UCLA-SuEIR,51,36400.6,23767.5,33074.4,718.2,15671.1,57527.5,155754.5
CovidAnalytics-DELPHI,51,41802.1,25112.0,40950.4,887.0,16654.0,55840.5,200702.0
TTU-squider,51,41927.4,29153.4,39530.1,150.7,13296.1,60098.5,149453.0
