,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF
Alabama,41475,30591.0,52173.8,28321.9,30864.0,36671.0,,29062.8,13692.0,43617.5,46356.5,,28072.0,30619.5,30536.4,34220.0,33378.5,38845.4,27453.0,32114.5,38490.1,35391.0,,18698.0,23019.4,18986.8,38205.0,29550.6,28231.0,40523.4,-10884.0,10698.8,-13153.1,-10611.0,-4804.0,,-12412.2,-27783.0,2142.5,4881.5,,-13403.0,-10855.5,-10938.6,-7255.0,-8096.5,-2629.6,-14022.0,-9360.5,-2984.9,-6084.0,,-22777.0,-18455.6,-22488.2,-3270.0,-11924.4,-13244.0,-951.6,True,False,True,True,,False,False,True,True,,False,True,False,True,True,True,False,True,True,True,,False,False,False,True,False,False,True
Alaska,12138,8853.0,1804.8,8945.9,10642.0,6545.0,,8219.4,4354.0,16492.4,11556.5,,,10785.3,14042.7,10269.0,11781.0,14706.4,16182.5,13017.6,12723.9,13080.0,,11614.6,11127.7,7866.9,10465.5,18508.5,76.0,13170.1,-3285.0,-10333.2,-3192.1,-1496.0,-5593.0,,-3918.6,-7784.0,4354.4,-581.5,,,-1352.7,1904.7,-1869.0,-357.0,2568.4,4044.5,879.6,585.9,942.0,,-523.4,-1010.3,-4271.1,-1672.5,6370.5,-12062.0,1032.1,False,True,True,False,,False,False,False,True,,,True,True,True,True,True,False,True,True,True,,True,True,False,True,False,False,True
Arizona,65390,34314.0,63269.8,33905.0,39033.0,52311.0,,32353.0,3136.0,43017.6,42074.6,,24919.0,31671.0,27731.4,40607.0,36439.5,59339.2,51543.0,49403.3,47839.7,54145.0,,67030.0,38478.1,20785.3,36835.3,40903.4,42293.0,46964.6,-31076.0,-2120.2,-31485.0,-26357.0,-13079.0,,-33037.0,-62254.0,-22372.4,-23315.4,,-40471.0,-33719.0,-37658.6,-24783.0,-28950.5,-6050.8,-13847.0,-15986.7,-17550.3,-11245.0,,1640.0,-26911.9,-44604.7,-28554.7,-24486.6,-23097.0,-18425.4,True,False,True,True,,False,False,True,True,,False,False,False,True,True,True,True,True,True,True,,True,True,False,True,True,True,True
Arkansas,34198,25914.0,26645.4,26004.2,26422.0,32952.0,,23396.4,14675.0,33241.7,26957.6,,24369.0,25708.0,25905.6,28738.0,25963.5,24076.5,28552.0,33807.3,25831.6,35187.0,,47857.1,17169.7,15480.1,26440.5,24370.8,23894.0,30726.7,-8284.0,-7552.6,-8193.8,-7776.0,-1246.0,,-10801.6,-19523.0,-956.3,-7240.4,,-9829.0,-8490.0,-8292.4,-5460.0,-8234.5,-10121.5,-5646.0,-390.7,-8366.4,989.0,,13659.1,-17028.3,-18717.9,-7757.5,-9827.2,-10304.0,-3471.3,True,True,True,True,,False,False,True,True,,False,False,False,True,True,False,True,True,False,True,,False,False,False,True,False,False,True
California,231262,111657.0,120169.9,113943.1,115476.0,163860.0,,104463.5,22644.0,140416.3,151424.1,,87097.0,105339.2,96951.1,114715.0,106753.5,135954.7,140804.0,137783.4,118495.4,155530.0,,126589.7,18209.5,77130.1,104843.3,119640.9,124131.0,126318.4,-119605.0,-111092.1,-117318.9,-115786.0,-67402.0,,-126798.5,-208618.0,-90845.7,-79837.9,,-144165.0,-125922.8,-134310.9,-116547.0,-124508.5,-95307.3,-90458.0,-93478.6,-112766.6,-75732.0,,-104672.3,-213052.5,-154131.9,-126418.7,-111621.1,-107131.0,-104943.6,True,True,True,True,,False,False,True,True,,False,False,False,True,False,True,True,True,True,True,,True,False,False,False,True,True,True
Colorado,97316,61851.0,132050.7,63095.3,73224.0,83650.0,,55649.8,271804.0,105154.6,77196.3,,52452.0,61860.7,58047.1,70516.0,83631.5,112122.9,119059.0,89228.3,71193.2,86062.0,,75879.7,96007.7,54179.5,51525.7,157800.6,61223.0,80188.3,-35465.0,34734.7,-34220.7,-24092.0,-13666.0,,-41666.2,174488.0,7838.6,-20119.7,,-44864.0,-35455.3,-39268.9,-26800.0,-13684.5,14806.9,21743.0,-8087.7,-26122.8,-11254.0,,-21436.3,-1308.3,-43136.5,-45790.3,60484.6,-36093.0,-17127.7,True,True,True,True,,False,False,True,True,,False,True,False,True,True,True,True,True,True,True,,True,True,False,False,False,False,True
Connecticut,34456,20754.0,26472.6,20360.7,21428.0,24132.0,,20941.6,21101.0,30506.7,17489.5,,16537.0,21395.6,17962.0,24601.0,22665.5,33695.6,22190.5,23593.7,25257.8,25172.0,,16059.8,19050.0,19371.9,20206.9,22470.5,23081.0,26490.0,-13702.0,-7983.4,-14095.3,-13028.0,-10324.0,,-13514.4,-13355.0,-3949.3,-16966.5,,-17919.0,-13060.4,-16494.0,-9855.0,-11790.5,-760.4,-12265.5,-10862.3,-9198.2,-9284.0,,-18396.2,-15406.0,-15084.1,-14249.1,-11985.5,-11375.0,-7966.0,True,False,True,True,,True,True,True,False,,False,True,False,True,True,True,True,True,True,True,,False,False,False,False,True,True,True
Delaware,8412,3921.0,1749.6,3899.6,3947.0,5417.0,,4120.2,2504.0,6551.9,4059.3,,3323.0,3852.8,3351.3,4374.0,3548.5,3873.2,4830.0,7105.2,7434.0,5677.0,,7398.4,3615.4,3096.3,4091.1,2854.6,4679.0,7191.6,-4491.0,-6662.4,-4512.4,-4465.0,-2995.0,,-4291.8,-5908.0,-1860.1,-4352.7,,-5089.0,-4559.2,-5060.7,-4038.0,-4863.5,-4538.8,-3582.0,-1306.8,-978.0,-2735.0,,-1013.6,-4796.6,-5315.7,-4320.9,-5557.4,-3733.0,-1220.4,False,False,True,True,,True,False,True,True,,False,False,False,True,False,False,True,True,True,True,,True,False,False,True,False,True,True
District of Columbia,3417,1875.0,9391.8,1930.1,1929.0,1584.0,,1776.2,452.0,2668.3,3898.3,,1259.0,1720.3,1411.2,2328.0,1701.5,2235.9,2497.5,2626.1,,2959.0,,3331.8,955.1,1629.6,2057.4,,2376.0,2357.2,-1542.0,5974.8,-1486.9,-1488.0,-1833.0,,-1640.8,-2965.0,-748.7,481.3,,-2158.0,-1696.7,-2005.8,-1089.0,-1715.5,-1181.1,-919.5,-790.9,,-458.0,,-85.2,-2461.9,-1787.4,-1359.6,,-1041.0,-1059.8,False,True,True,False,,False,False,True,True,,False,False,False,True,False,True,True,True,,True,,True,False,False,True,,True,True
Florida,148220,103590.0,112189.5,107261.2,109602.0,156573.0,,103818.2,19703.0,152571.6,118040.9,,80018.0,100807.7,92339.8,114856.0,105067.5,137094.2,132790.0,148240.2,122747.4,145207.0,,117084.7,81387.3,64407.4,107084.8,114008.4,89086.0,119577.4,-44630.0,-36030.5,-40958.8,-38618.0,8353.0,,-44401.8,-128517.0,4351.6,-30179.1,,-68202.0,-47412.3,-55880.2,-33364.0,-43152.5,-11125.8,-15430.0,20.2,-25472.6,-3013.0,,-31135.3,-66832.7,-83812.6,-41135.2,-34211.6,-59134.0,-28642.6,True,True,True,True,,True,False,True,True,,False,False,False,True,True,True,True,True,True,True,,True,False,False,True,True,False,True
