,count,mean,median,std,min,25%,75%,max
IowaStateLW-STEM,49,151485274.3,8809024.0,400416738.7,29929.0,1691950.5,61869901.0,2469394249.0
OneQuietNight-ML,51,236655420.0,37711881.0,789353926.5,3025.0,3869360.5,147238562.5,5504601249.0
Microsoft-DeepSTIA,50,377148675.6,27535839.8,1125787478.0,11843.5,2807191.3,111195209.6,6400920223.1
COVIDhub-ensemble,51,397544231.4,39012516.0,1111127814.0,132496.0,3901406.5,255408242.5,6447287025.0
CEID-Walk,51,455046973.6,29180383.2,1765010283.7,5359.7,1891803.1,202683293.4,12173832747.3
JHU_CSSE-DECOM,51,456665336.5,38056561.0,1120788743.1,22201.0,3547400.0,306027390.5,5823063481.0
COVIDhub-baseline,51,464591115.3,34000561.0,1858183331.1,144.0,2956725.0,177568962.5,12927235204.0
OliverWyman-Navigator,51,528396996.3,13972644.0,2424845539.0,961.0,594445.0,93347906.0,16694190436.0
Covid19Sim-Simulator,51,532131117.2,23614169.0,2158515990.1,8326.8,1701386.4,132997287.0,14602125717.7
USC-SI_kJalpha,51,538354000.0,24671089.0,1840526273.7,3721.0,494738.0,178187854.5,11038233969.0
TTU-squider,51,590822881.2,147213814.2,1024507041.9,1798.4,10441837.1,615784193.2,4652710917.5
UCLA-SuEIR,51,607064470.5,69593410.8,2322132341.0,46966.3,8158329.9,340331399.1,16325731068.8
LNQ-ens1,51,629363481.6,199654799.0,1412087901.9,171581.5,23108285.2,463862403.3,8206839797.4
UMich-RidgeTfReg,50,638733139.7,49976409.8,2199779773.3,94878.8,2141103.6,250393159.3,11684827884.8
CU-select,51,683787266.7,168117156.0,1999470879.7,400689.0,18059042.0,534881598.5,13636167076.0
RobertWalraven-ESG,51,888625825.8,154785448.0,3218659074.1,118122.8,27302545.0,477936045.7,22710746190.7
CovidAnalytics-DELPHI,51,1069323258.6,63632529.0,3262123568.4,62500.0,4701818.0,227276082.5,20073222400.0
JHU_IDD-CovidSP,51,1198831108.9,201741282.3,4457274023.2,201056.5,11436666.7,554306567.0,30483644107.5
JCB-PRM,51,1212887914.2,10369318.3,6993834990.0,6315.2,557131.5,74984974.2,49892991760.7
JHU_UNC_GAS-StatMechPool,51,1887598633.2,130804969.0,6653737216.3,49284.0,16021639.1,782718084.0,39353037376.0
IEM_MED-CovidProject,51,1908302491.3,86126248.7,11925136073.8,50626.8,7711532.7,290733015.0,85346089895.3
BPagano-RtDriven,51,2081717567.7,16165224.4,13657567328.0,6872.4,2896107.8,85076951.3,97635188635.7
Google_Harvard-CPF,51,2401583631.6,57893552.1,12199616005.4,6428.2,3266923.3,399423002.0,85618710145.6
JHUAPL-Bucky,51,2539738868.7,147197506.1,14249690266.8,138624.4,21114220.3,560820776.6,102034989916.9
UCSB-ACTS,51,3339417646.5,120459863.9,19360030732.7,822.4,29632711.8,368041047.8,138380535771.7
UVA-Ensemble,51,3360730451.9,94402859.1,16571045201.5,12129.7,10381911.7,474574513.0,116080988811.0
LANL-GrowthRate,51,3387052836.2,49000000.0,21239031807.3,11881.0,3893669.0,287699946.2,151902724009.0
Karlen-pypm,51,8911390332.1,34175716.0,61089487910.8,28594.8,5650735.4,86653759.9,436528718490.2
DDS-NBDS,51,568145025940.7,26258671.9,3738933590082.7,2035.2,3139519.1,286501699.4,26684089021963.6
