,count,mean,median,std,min,25%,75%,max
LNQ-ens1,3140,9980.1,37.7,195615.6,0.0,4.6,305.5,10115392.8
COVIDhub-baseline,3141,13899.2,81.0,252122.9,0.0,9.0,576.0,12630916.0
CEID-Walk,3141,14014.0,85.5,209451.6,0.0,8.7,666.2,9818308.4
COVIDhub-ensemble,3141,15089.6,49.0,359605.9,0.0,4.0,361.0,19140625.0
UChicagoCHATTOPADHYAY-UnIT,3093,15867.2,95.8,219891.4,0.0,11.1,640.6,8291750.6
COVIDhub-trained_ensemble,3141,16981.8,36.0,394072.1,0.0,4.0,361.0,20629764.0
OliverWyman-Navigator,2888,19256.7,81.0,326321.8,0.0,9.0,625.0,14303524.0
CU-select,3107,22100.4,81.0,397548.2,0.0,9.0,676.0,19140625.0
UVA-Ensemble,3131,22118.8,81.5,384082.0,0.0,8.4,647.1,16192576.0
UpstateSU-GRU,2770,23231.0,125.1,331738.6,0.0,17.5,882.2,14305189.6
LANL-GrowthRate,3111,39200.2,100.0,807746.2,0.0,16.0,1024.0,40214622.2
OneQuietNight-ML,3135,45213.7,81.0,1136370.7,0.0,9.0,625.0,61121124.0
JHU_IDD-CovidSP,3141,45644.6,58.6,659979.7,0.0,6.4,553.5,23098438.3
Google_Harvard-CPF,3140,60684.9,154.4,1134388.4,0.0,16.4,1275.5,55722026.0
FAIR-NRAR,3135,61782.5,68.2,1010846.2,0.0,7.1,771.6,36556341.3
JHUAPL-Bucky,3141,65184.6,161.9,997092.2,0.0,15.0,1563.0,28484477.9
IowaStateLW-STEM,3103,168929.5,324.0,2451825.2,0.0,36.0,3077.4,83375161.0
