,2020-07-06_2020-07-11,2020-07-13_2020-07-18,2020-07-20_2020-07-25,2020-07-27_2020-08-01,2020-08-03_2020-08-08,2020-08-10_2020-08-15,2020-08-17_2020-08-22,2020-08-24_2020-08-29,2020-08-31_2020-09-05,2020-09-07_2020-09-12,2020-09-14_2020-09-19,2020-09-21_2020-09-26,2020-09-28_2020-10-03,2020-10-05_2020-10-10,2020-10-12_2020-10-17,2020-10-19_2020-10-24,2020-10-26_2020-10-31,2020-11-02_2020-11-07,2020-11-09_2020-11-14,2020-11-16_2020-11-21,2020-11-23_2020-11-28
num_counties,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141
num_counties_with_projections-BPagano-RtDriven,,,,,,,,,,,,,,,,0,0,0,0,0,0
num_counties_with_projections-CDDEP-SEIR_MCMC,24,981,981,981,977,975,981,,,,,,,,,,,,,,
num_counties_with_projections-CEID-Walk,,,,,,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141
num_counties_with_projections-CMU-TimeSeries,,,,,,199,199,199,199,199,199,199,199,198,199,199,199,199,199,199,199
num_counties_with_projections-COVIDhub-baseline,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141
num_counties_with_projections-COVIDhub-ensemble,,,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141
num_counties_with_projections-CU-select,3139,3141,3141,3072,3093,3103,3099,3097,3096,3098,3061,3062,3058,3078,3081,3080,3077,3081,3082,3089,3089
num_counties_with_projections-Columbia_UNC-SurvCon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
num_counties_with_projections-Covid19Sim-Simulator,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
num_counties_with_projections-CovidAnalytics-DELPHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
num_counties_with_projections-DDS-NBDS,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
num_counties_with_projections-FAIR-NRAR,,,,,,,,,,,,,,,,,,,,,3136
num_counties_with_projections-Geneva-DetGrowth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
num_counties_with_projections-Google_Harvard-CPF,,,,,,,,,,,,,3140,3140,3140,3140,3140,3140,3140,3140,3140
num_counties_with_projections-IBF-TimeSeries,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0
num_counties_with_projections-IHME-CurveFit,,,0,0,0,0,,,,,,,,,,,,,,,
num_counties_with_projections-IQVIA_ACOE-STAN,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0
num_counties_with_projections-IowaStateLW-STEM,3103,3103,3103,3103,3103,,3103,3103,3103,3103,3103,3103,3103,3103,3103,3103,3103,3103,3103,3103,3103
num_counties_with_projections-JCB-PRM,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
num_counties_with_projections-JHUAPL-Bucky,,,,,,,,,3141,3141,2393,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141
num_counties_with_projections-JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,0,,0,0,0
num_counties_with_projections-JHU_IDD-CovidSP,3139,3139,3139,3139,3139,3139,3139,3139,3139,3139,3139,3139,3139,3139,3139,3139,3139,3139,,3139,3139
num_counties_with_projections-JHU_UNC_GAS-StatMechPool,,,,,,,,,,,,,,,,,1451,1451,1455,1455,
num_counties_with_projections-Karlen-pypm,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
num_counties_with_projections-LANL-GrowthRate,2948,2949,2913,2950,2951,2951,2951,2951,2951,2951,2951,2951,2951,2951,2951,2951,2950,3089,3093,3100,3104
num_counties_with_projections-LNQ-ens1,,988,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3141,3140,3140,3140,3140,3140
num_counties_with_projections-MITCovAlliance-SIR,1454,1577,1705,1830,1947,,2094,,2237,2292,2339,2398,2461,,2582,2644,2700,,,,
num_counties_with_projections-MSRA-DeepST,,,,,,,,,,,,,,,,0,,0,0,0,0
num_counties_with_projections-OliverWyman-Navigator,2688,1942,2648,2705,2609,2550,2467,2413,2671,2686,2724,2785,2769,2795,2964,2994,3007,3013,3026,2982,3041
num_counties_with_projections-OneQuietNight-ML,,,,,,,,,,,,,,,,,,,,,3134
num_counties_with_projections-PandemicCentral-USCounty,,,,,,,,,3048,3059,3033,3040,3049,3044,2964,2965,2214,2959,2967,2967,
num_counties_with_projections-QJHong-Encounter,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
num_counties_with_projections-RobertWalraven-ESG,0,0,0,0,3138,3141,3141,3141,3141,3141,3141,3141,3141,3141,0,0,0,0,0,0,0
num_counties_with_projections-TTU-squider,,,,,,,0,0,,,0,,0,0,0,0,0,0,0,0,0
num_counties_with_projections-UCF-AEM,,,,,,,,,,,,,,,,,,,,0,0
num_counties_with_projections-UCLA-SuEIR,627,627,646,2895,2599,2716,2847,2820,2906,2797,792,838,2660,2660,972,1021,1082,1117,1211,1310,1314
num_counties_with_projections-UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,3093,3093,3093
num_counties_with_projections-UMass-MechBayes,,499,496,496,496,496,496,496,495,493,490,486,492,495,495,496,496,492,468,480,480
num_counties_with_projections-UMich-RidgeTfReg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
num_counties_with_projections-USACE-ERDC_SEIR,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0
num_counties_with_projections-USC-SI_kJalpha,2727,2743,2759,2769,2772,2774,2779,2781,2784,2789,2790,2791,2794,3107,3109,3112,3112,3112,3112,0,0
num_counties_with_projections-USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,0,0,,
num_counties_with_projections-UVA-Ensemble,,,133,133,133,133,133,2781,2781,2779,2766,2780,2773,2721,2778,2773,2091,3131,3076,3131,3131
num_counties_with_projections-Yu_Group-CLEP,,,,,,3139,3139,,3139,3128,3136,3133,2376,,416,,,,,,3049
num_counties_beat_baseline-BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-CDDEP-SEIR_MCMC,9,198,274,269,298,272,255,,,,,,,,,,,,,,
num_counties_beat_baseline-CEID-Walk,,,,,,1480,1483,1432,1484,1438,1488,1493,1462,1457,1508,1524,1435,1512,1572,1552,1519
num_counties_beat_baseline-CMU-TimeSeries,,,,,,99,121,98,95,119,70,84,105,75,108,92,104,146,131,106,69
num_counties_beat_baseline-COVIDhub-ensemble,,,1472,1444,1516,1419,1580,1426,1330,1601,1124,1331,1254,1021,1030,1029,1001,1306,1283,1293,1534
num_counties_beat_baseline-CU-select,1030,1107,1066,1177,1147,1226,1173,1148,1130,1182,937,896,896,1043,1031,1093,1140,1209,1256,1126,1125
num_counties_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-Covid19Sim-Simulator,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-CovidAnalytics-DELPHI,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-DDS-NBDS,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-FAIR-NRAR,,,,,,,,,,,,,,,,,,,,,1421
num_counties_beat_baseline-Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-Google_Harvard-CPF,,,,,,,,,,,,,1258,976,927,1143,1410,1658,734,937,1228
num_counties_beat_baseline-IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-IHME-CurveFit,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-IowaStateLW-STEM,1174,1112,1285,1265,1250,,1257,1247,1244,1244,1206,1143,1076,1230,1206,1155,1255,1445,1250,1187,1187
num_counties_beat_baseline-JCB-PRM,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-JHUAPL-Bucky,,,,,,,,,1342,1133,1039,1315,1357,1460,1365,1214,1246,1303,1443,949,1040
num_counties_beat_baseline-JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-JHU_IDD-CovidSP,1154,1316,1299,1324,1233,1254,1276,1262,1316,1372,1269,1258,1268,1162,921,856,793,577,,748,1129
num_counties_beat_baseline-JHU_UNC_GAS-StatMechPool,,,,,,,,,,,,,,,,,597,623,532,547,
num_counties_beat_baseline-Karlen-pypm,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-LANL-GrowthRate,659,667,1067,1233,1215,1250,1255,1100,1091,1289,848,1023,1057,758,865,760,799,1444,1459,1221,1357
num_counties_beat_baseline-LNQ-ens1,,549,1708,1745,1776,1703,1774,1566,1694,1816,1474,1629,1691,1527,1737,1575,1624,1723,1859,1769,1877
num_counties_beat_baseline-MITCovAlliance-SIR,408,539,606,688,794,,851,,751,872,690,763,775,,641,563,510,,,,
num_counties_beat_baseline-MSRA-DeepST,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-OliverWyman-Navigator,1273,947,1229,1176,1149,1251,1345,1200,1081,991,1236,1104,1076,1250,1340,1335,1567,1698,1865,1553,1043
num_counties_beat_baseline-OneQuietNight-ML,,,,,,,,,,,,,,,,,,,,,1165
num_counties_beat_baseline-PandemicCentral-USCounty,,,,,,,,,955,1156,953,1007,975,920,870,823,481,854,674,496,
num_counties_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-RobertWalraven-ESG,,,,,1430,1352,1439,1299,1105,1376,1018,1137,1151,1046,,,,,,,
num_counties_beat_baseline-TTU-squider,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-UCF-AEM,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-UCLA-SuEIR,307,361,346,1298,1228,1349,1442,1321,1420,1467,296,387,1214,1045,307,319,315,273,243,338,649
num_counties_beat_baseline-UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,2024,1518,1218
num_counties_beat_baseline-UMass-MechBayes,,232,214,217,232,227,257,180,186,250,167,197,189,198,205,192,236,257,259,222,176
num_counties_beat_baseline-UMich-RidgeTfReg,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-USACE-ERDC_SEIR,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-USC-SI_kJalpha,1093,1075,866,1332,1069,1164,1196,1069,1133,1089,1068,1238,1005,1263,1107,1159,1076,1280,1161,,
num_counties_beat_baseline-USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,,,,
num_counties_beat_baseline-UVA-Ensemble,,,40,61,77,53,44,1191,964,820,839,1116,1283,801,739,695,735,1937,1474,1331,1247
num_counties_beat_baseline-Yu_Group-CLEP,,,,,,1018,1037,,1077,997,1180,1056,674,,139,,,,,,980
perc_beat_baseline-BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-CDDEP-SEIR_MCMC,0.375,0.2018348624,0.2793068298,0.2742099898,0.3050153531,0.278974359,0.2599388379,,,,,,,,,,,,,,
perc_beat_baseline-CEID-Walk,,,,,,0.4711875199,0.4721426297,0.4559057625,0.4724609997,0.4578159822,0.4737344795,0.4753263292,0.4654568609,0.4638650111,0.4801018784,0.4851957975,0.4568608723,0.4813753582,0.5004775549,0.494110156,0.4836039478
