,2020-07-06_2020-08-15,2020-07-13_2020-08-22,2020-07-20_2020-08-29
num_states,51,51,51
num_states_with_projections-COVIDhub-baseline,51,51,51
num_states_with_projections-COVIDhub-ensemble,,,51
num_states_with_projections-Columbia_UNC-SurvCon,0,0,0
num_states_with_projections-Covid19Sim-Simulator,51,51,51
num_states_with_projections-CovidActNow-SEIR_CAN,51,,
num_states_with_projections-CovidAnalytics-DELPHI,51,51,51
num_states_with_projections-Geneva-DetGrowth,51,51,51
num_states_with_projections-IHME-CurveFit,,,51
num_states_with_projections-IowaStateLW-STEM,49,49,49
num_states_with_projections-JHU_IDD-CovidSP,51,51,51
num_states_with_projections-Karlen-pypm,,,51
num_states_with_projections-LANL-GrowthRate,51,51,51
num_states_with_projections-LNQ-ens1,,50,51
num_states_with_projections-OliverWyman-Navigator,51,51,51
num_states_with_projections-QJHong-Encounter,,0,0
num_states_with_projections-RobertWalraven-ESG,51,51,49
num_states_with_projections-UCLA-SuEIR,51,51,51
num_states_with_projections-UMich-RidgeTfReg,0,0,31
num_states_with_projections-USACE-ERDC_SEIR,51,51,51
num_states_with_projections-USC-SI_kJalpha,51,51,51
num_states_beat_baseline-COVIDhub-ensemble,,,17
num_states_beat_baseline-Columbia_UNC-SurvCon,,,
num_states_beat_baseline-Covid19Sim-Simulator,22,12,11
num_states_beat_baseline-CovidActNow-SEIR_CAN,11,,
num_states_beat_baseline-CovidAnalytics-DELPHI,8,6,9
num_states_beat_baseline-Geneva-DetGrowth,1,1,2
num_states_beat_baseline-IHME-CurveFit,,,9
num_states_beat_baseline-IowaStateLW-STEM,18,17,15
num_states_beat_baseline-JHU_IDD-CovidSP,17,20,22
num_states_beat_baseline-Karlen-pypm,,,5
num_states_beat_baseline-LANL-GrowthRate,4,7,16
num_states_beat_baseline-LNQ-ens1,,15,23
num_states_beat_baseline-OliverWyman-Navigator,4,9,19
num_states_beat_baseline-QJHong-Encounter,,,
num_states_beat_baseline-RobertWalraven-ESG,1,2,12
num_states_beat_baseline-UCLA-SuEIR,22,14,17
num_states_beat_baseline-UMich-RidgeTfReg,,,8
num_states_beat_baseline-USACE-ERDC_SEIR,8,10,16
num_states_beat_baseline-USC-SI_kJalpha,21,15,17
perc_beat_baseline-COVIDhub-ensemble,,,0.3333333333
perc_beat_baseline-Columbia_UNC-SurvCon,,,
perc_beat_baseline-Covid19Sim-Simulator,0.431372549,0.2352941176,0.2156862745
perc_beat_baseline-CovidActNow-SEIR_CAN,0.2156862745,,
perc_beat_baseline-CovidAnalytics-DELPHI,0.1568627451,0.1176470588,0.1764705882
perc_beat_baseline-Geneva-DetGrowth,0.01960784314,0.01960784314,0.03921568627
perc_beat_baseline-IHME-CurveFit,,,0.1764705882
perc_beat_baseline-IowaStateLW-STEM,0.3673469388,0.3469387755,0.306122449
perc_beat_baseline-JHU_IDD-CovidSP,0.3333333333,0.3921568627,0.431372549
perc_beat_baseline-Karlen-pypm,,,0.09803921569
perc_beat_baseline-LANL-GrowthRate,0.07843137255,0.137254902,0.3137254902
perc_beat_baseline-LNQ-ens1,,0.3,0.4509803922
perc_beat_baseline-OliverWyman-Navigator,0.07843137255,0.1764705882,0.3725490196
perc_beat_baseline-QJHong-Encounter,,,
perc_beat_baseline-RobertWalraven-ESG,0.01960784314,0.03921568627,0.2448979592
perc_beat_baseline-UCLA-SuEIR,0.431372549,0.2745098039,0.3333333333
perc_beat_baseline-UMich-RidgeTfReg,,,0.2580645161
perc_beat_baseline-USACE-ERDC_SEIR,0.1568627451,0.1960784314,0.3137254902
perc_beat_baseline-USC-SI_kJalpha,0.4117647059,0.2941176471,0.3333333333
mean_abs_error-COVIDhub-baseline,12690.31373,8827.078431,14898.56863
mean_abs_error-COVIDhub-ensemble,,,9637.313725
mean_abs_error-Columbia_UNC-SurvCon,,,
mean_abs_error-Covid19Sim-Simulator,22361.7451,30212.34314,33575.16275
mean_abs_error-CovidActNow-SEIR_CAN,59502.19804,,
mean_abs_error-CovidAnalytics-DELPHI,19067.66667,16647.96078,20849.33333
mean_abs_error-Geneva-DetGrowth,42162.51373,38137.36275,34134.88431
mean_abs_error-IHME-CurveFit,,,52294.84706
mean_abs_error-IowaStateLW-STEM,,,
mean_abs_error-JHU_IDD-CovidSP,25904.07059,17826.15294,11724.01961
mean_abs_error-Karlen-pypm,,,73789.99216
mean_abs_error-LANL-GrowthRate,21253.26078,22635.84902,14926.68431
mean_abs_error-LNQ-ens1,,,8364.22549
mean_abs_error-OliverWyman-Navigator,17777.05882,9187.313725,8854.078431
mean_abs_error-QJHong-Encounter,,,
mean_abs_error-RobertWalraven-ESG,46418.83137,26232.23725,
mean_abs_error-UCLA-SuEIR,12832.20392,17844.62549,22519.58824
mean_abs_error-UMich-RidgeTfReg,,,
mean_abs_error-USACE-ERDC_SEIR,19597.56863,15511.45098,17500.06275
mean_abs_error-USC-SI_kJalpha,17235.69216,19795.52353,21390.54118
