,mean_abs_error_2020-07-06_2020-07-18,mean_abs_error_2020-07-13_2020-07-25,mean_abs_error_2020-07-20_2020-08-01,mean_abs_error_2020-07-27_2020-08-08,mean_abs_error_2020-08-03_2020-08-15,mean_abs_error_2020-08-10_2020-08-22,mean_abs_error_2020-08-17_2020-08-29,mean_abs_error_2020-08-24_2020-09-05,mean_abs_error_2020-08-31_2020-09-12,mean_abs_error_2020-09-07_2020-09-19,mean_abs_error_2020-09-14_2020-09-26,mean_abs_error_2020-09-21_2020-10-03,mean_sq_abs_error_2020-07-06_2020-07-18,mean_sq_abs_error_2020-07-13_2020-07-25,mean_sq_abs_error_2020-07-20_2020-08-01,mean_sq_abs_error_2020-07-27_2020-08-08,mean_sq_abs_error_2020-08-03_2020-08-15,mean_sq_abs_error_2020-08-10_2020-08-22,mean_sq_abs_error_2020-08-17_2020-08-29,mean_sq_abs_error_2020-08-24_2020-09-05,mean_sq_abs_error_2020-08-31_2020-09-12,mean_sq_abs_error_2020-09-07_2020-09-19,mean_sq_abs_error_2020-09-14_2020-09-26,mean_sq_abs_error_2020-09-21_2020-10-03
LNQ-ens1,,,84.6,63.6,68.5,61.8,53.5,53.9,46.8,48.0,70.0,55.0,,,168014.7,97782.9,128138.7,87116.0,42278.3,30955.3,26493.9,19176.0,135119.5,75606.5
COVIDhub-ensemble,,,82.9,67.7,72.9,67.3,59.1,55.9,49.7,51.0,73.0,61.7,,,161986.4,139384.0,187647.8,106511.6,86184.2,42941.7,24776.4,22506.7,152178.0,83514.2
COVIDhub-baseline,83.3,80.0,78.3,83.8,86.4,75.3,81.9,65.7,61.3,63.6,67.1,65.3,277588.0,146440.3,137113.8,181840.6,260470.8,127619.9,180585.3,102328.8,56999.6,42969.2,137800.5,57692.6
LANL-GrowthRate,113.5,111.8,109.1,87.8,89.6,80.2,78.0,68.0,65.8,68.7,86.2,81.7,387325.1,280488.6,389849.5,199836.2,212347.5,116086.0,156070.2,32483.2,42971.8,33325.4,124844.5,128198.3
USC-SI_kJalpha,126.1,130.6,170.0,72.9,83.8,73.9,79.3,75.4,83.8,72.8,84.4,75.7,417946.1,339971.3,377898.8,126560.1,183460.0,179385.7,165296.8,127460.2,254863.2,65015.8,194323.1,89678.5
OliverWyman-Navigator,82.6,,149.6,121.7,96.3,74.7,71.9,61.4,69.2,75.0,80.7,80.8,155854.2,,661028.2,321961.2,188904.4,92205.7,182620.2,50981.8,45426.8,41981.0,155405.5,71900.2
CEID-Walk,,,,,,75.2,83.9,66.3,63.0,65.1,67.9,65.8,,,,,,121836.6,190894.1,105671.1,62248.8,53969.3,138855.8,54725.9
JHU_IDD-CovidSP,164.3,145.5,125.1,104.2,104.7,99.4,89.5,76.4,67.5,69.9,89.0,87.4,798026.9,732795.1,551029.2,136071.3,110069.6,125377.2,72783.9,43605.9,32750.2,38225.0,191312.0,181442.7
UCLA-SuEIR,,,,90.4,95.6,77.5,80.6,71.6,66.0,63.2,,,,,,261531.8,238744.3,124321.4,180890.6,101934.4,74233.4,50985.9,,
IowaStateLW-STEM,117.4,189.7,149.6,116.0,106.8,,89.4,97.4,80.1,85.4,78.4,84.9,235660.6,1237421.7,6366518.0,432275.1,368186.1,,135862.6,237775.6,216456.5,444837.7,134425.9,120741.8
RobertWalraven-ESG,,,,,92.8,141.9,77.7,80.0,96.1,91.5,110.1,109.2,,,,,201134.3,827022.0,86129.3,67145.4,92782.0,76783.2,210547.7,212417.2
JHUAPL-Bucky,,,,,,,,,67.3,85.2,82.1,79.9,,,,,,,,,38547.3,50702.0,145068.9,96938.2
CU-select,178.8,148.3,146.5,116.9,118.1,93.4,118.4,81.3,82.3,104.0,116.0,115.5,1269942.9,755270.7,860987.9,381661.6,634989.9,177058.7,555412.8,109272.5,82110.1,205166.7,207062.2,204889.1
UVA-Ensemble,,,,,,,,89.2,165.1,155.3,97.1,99.5,,,,,,,,176618.6,1074978.1,753801.1,193672.0,113252.1
PandemicCentral-USCounty,,,,,,101.7,,116.2,119.2,83.0,118.3,121.6,,,,,,256658.8,,449238.1,317774.0,86253.1,186974.7,193800.9
MITCovAlliance-SIR,,,,,,,95.3,,96.8,99.4,120.4,117.9,,,,,,,225139.2,,131245.0,139559.1,351723.6,344027.5
Yu_Group-CLEP,,,,,,86.0,263.6,,188.8,161.1,160.0,193.6,,,,,,155908.8,1623706.4,,416052.8,300076.3,270013.2,490726.0
