,perc_error_2020-07-06_2020-07-25,perc_error_2020-07-13_2020-08-01,perc_error_2020-07-20_2020-08-08,perc_error_2020-07-27_2020-08-15,perc_error_2020-08-03_2020-08-22,perc_error_2020-08-10_2020-08-29,perc_error_2020-08-17_2020-09-05,perc_error_2020-08-24_2020-09-12,perc_error_2020-08-31_2020-09-19,perc_error_2020-09-07_2020-09-26,perc_error_2020-09-14_2020-10-03,perc_error_2020-09-21_2020-10-10,perc_error_2020-09-28_2020-10-17,perc_error_2020-10-05_2020-10-24,perc_error_2020-10-12_2020-10-31,perc_error_2020-10-19_2020-11-07,perc_error_2020-10-26_2020-11-14,perc_error_2020-11-02_2020-11-21,perc_error_2020-11-09_2020-11-28,perc_error_2020-11-16_2020-12-05,perc_error_2020-11-23_2020-12-12,perc_error_2020-11-30_2020-12-19,perc_error_2020-12-07_2020-12-26,perc_error_2020-12-14_2021-01-02,perc_error_2020-12-21_2021-01-09,perc_error_2020-12-28_2021-01-16,perc_error_2021-01-04_2021-01-23,perc_error_2021-01-11_2021-01-30,perc_error_2021-01-18_2021-02-06,perc_error_2021-01-25_2021-02-13,perc_error_2021-02-01_2021-02-20,perc_error_2021-02-08_2021-02-27,perc_error_2021-02-15_2021-03-06
LNQ-ens1,,0.061,0.914,0.403,0.125,-0.010,0.030,-0.121,-0.000,-0.040,-0.209,-0.073,-0.087,-0.237,-0.179,-0.271,-0.248,-0.319,-0.083,0.137,-0.038,-0.299,-0.036,0.056,0.004,-0.244,-0.057,0.429,0.331,0.178,0.112,0.117,-0.035
QJHong-Encounter,,0.169,0.437,0.127,0.068,0.050,0.182,0.135,-0.106,-0.004,-0.289,-0.070,-0.002,-0.236,-0.161,-0.248,-0.323,-0.359,-0.279,0.015,0.116,-0.049,-0.066,0.077,-0.000,-0.059,0.033,0.262,0.582,0.405,0.432,0.417,0.254
Columbia_UNC-SurvCon,0.185,-0.031,0.030,0.008,-0.043,-0.117,0.009,-0.167,-0.089,0.084,-0.179,-0.240,0.032,-0.036,-0.273,-0.298,-0.317,0.093,0.106,0.684,0.412,-0.413,0.258,0.178,0.461,-0.078,-0.210,0.277,0.615,0.435,0.298,0.109,0.190
USC-SI_kJalpha,0.061,0.174,0.360,-0.026,0.036,-0.080,-0.083,-0.164,-0.083,-0.079,-0.327,-0.126,-0.157,-0.255,-0.287,-0.370,-0.389,-0.423,-0.387,-0.252,0.028,-0.257,-0.012,0.174,0.030,-0.103,-0.106,0.248,0.488,0.208,0.334,0.247,0.100
OliverWyman-Navigator,0.230,0.489,0.656,0.496,0.301,0.031,0.043,-0.100,-0.039,0.095,-0.143,0.052,0.129,-0.089,-0.085,-0.152,-0.267,-0.363,-0.133,0.107,0.164,-0.097,0.011,0.177,0.198,-0.023,-0.013,0.410,0.714,0.584,0.566,0.450,0.262
COVIDhub-ensemble,,,0.227,0.187,0.195,0.141,0.030,-0.083,-0.015,-0.014,-0.213,-0.183,-0.126,-0.268,-0.306,-0.370,-0.376,-0.394,-0.200,0.022,0.072,-0.207,0.035,0.144,0.036,-0.132,-0.056,0.343,0.501,0.388,0.402,0.249,0.079
UMich-RidgeTfReg,-0.323,0.008,0.074,0.124,0.190,0.245,0.305,-0.141,-0.053,0.009,-0.219,-0.079,-0.035,-0.192,-0.265,-0.304,-0.282,-0.389,0.072,0.379,0.259,-0.239,0.070,0.261,0.138,-0.362,0.110,0.583,0.323,0.475,0.642,0.379,-0.147
USACE-ERDC_SEIR,-0.288,-0.206,0.011,0.044,-0.040,-0.064,0.001,-0.157,-0.047,-0.056,-0.192,0.087,-0.109,,-0.214,,-0.332,,,-0.128,-0.271,-0.450,,,,,,,,,,,
Karlen-pypm,,,,0.691,0.675,0.344,0.145,0.080,-0.035,-0.073,-0.204,-0.254,-0.228,-0.324,-0.247,-0.238,-0.203,-0.226,-0.073,0.275,0.424,0.002,0.169,0.368,0.318,0.302,-0.005,0.244,0.496,0.378,0.159,0.104,-0.071
UCLA-SuEIR,-0.194,0.020,0.212,0.294,0.228,0.011,0.037,-0.047,0.059,-0.172,-0.409,-0.252,-0.274,-0.413,-0.430,-0.516,-0.439,-0.424,-0.220,-0.029,0.105,-0.266,0.011,-0.007,-0.078,-0.258,-0.119,0.425,0.286,0.415,0.821,0.219,
