,mean_abs_error_2020-07-06_2020-08-01,mean_abs_error_2020-07-13_2020-08-08,mean_abs_error_2020-07-20_2020-08-15,mean_abs_error_2020-07-27_2020-08-22,mean_abs_error_2020-08-03_2020-08-29,mean_abs_error_2020-08-10_2020-09-05,mean_abs_error_2020-08-17_2020-09-12,mean_abs_error_2020-08-24_2020-09-19,mean_abs_error_2020-08-31_2020-09-26,mean_abs_error_2020-09-07_2020-10-03,mean_abs_error_2020-09-14_2020-10-10,mean_abs_error_2020-09-21_2020-10-17,mean_abs_error_2020-09-28_2020-10-24,mean_sq_abs_error_2020-07-06_2020-08-01,mean_sq_abs_error_2020-07-13_2020-08-08,mean_sq_abs_error_2020-07-20_2020-08-15,mean_sq_abs_error_2020-07-27_2020-08-22,mean_sq_abs_error_2020-08-03_2020-08-29,mean_sq_abs_error_2020-08-10_2020-09-05,mean_sq_abs_error_2020-08-17_2020-09-12,mean_sq_abs_error_2020-08-24_2020-09-19,mean_sq_abs_error_2020-08-31_2020-09-26,mean_sq_abs_error_2020-09-07_2020-10-03,mean_sq_abs_error_2020-09-14_2020-10-10,mean_sq_abs_error_2020-09-21_2020-10-17,mean_sq_abs_error_2020-09-28_2020-10-24
LNQ-ens1,,,233.0,169.9,163.3,129.6,124.8,121.8,117.5,121.9,160.1,140.4,170.6,,,1604266.0,758362.6,756183.7,244387.8,256104.3,146007.2,127625.0,204765.2,342869.7,168322.4,299612.1
COVIDhub-baseline,194.6,173.8,197.8,198.2,206.1,172.6,186.9,152.2,143.6,149.8,147.3,156.0,193.0,1056200.8,707599.8,1178643.8,1332007.0,1730431.6,635020.1,981638.6,567474.0,264716.1,256488.2,290044.5,187925.1,1181063.1
COVIDhub-ensemble,,,234.1,158.7,166.6,140.5,127.9,125.9,124.9,127.6,168.1,158.7,198.4,,,1754669.5,1038084.8,1079224.5,333871.2,286895.0,211442.5,187165.6,260027.6,396220.7,250423.5,471312.7
OliverWyman-Navigator,187.0,,255.8,188.1,156.2,151.3,145.7,150.1,164.3,180.0,206.4,197.5,221.3,523887.6,,1784370.6,588404.2,373072.6,331560.3,449733.1,186661.5,340766.2,368099.9,579815.6,342810.5,1059731.9
CEID-Walk,,,,,,170.4,189.6,156.4,146.0,152.9,150.7,158.7,194.1,,,,,,596722.4,1043458.1,629869.1,278057.1,296637.8,297038.7,201085.7,1220571.6
JHU_IDD-CovidSP,328.0,257.3,229.7,259.2,260.7,222.4,197.9,164.4,155.4,158.3,183.7,202.9,222.2,2854149.3,1737217.5,1188815.9,889536.7,850239.8,688131.1,339721.7,222775.5,288053.4,331954.7,527308.9,546389.1,602799.2
USC-SI_kJalpha,393.5,359.3,422.8,180.0,189.0,160.1,191.6,170.5,187.2,183.8,215.3,197.8,233.8,3274753.1,1914014.7,2103386.8,777493.3,866220.9,523483.5,774400.9,463163.1,623542.5,427044.0,643325.5,413692.5,634974.1
IowaStateLW-STEM,296.7,443.5,332.7,269.1,239.5,,186.2,199.4,164.8,176.2,164.9,188.4,229.8,1614635.6,5368854.6,27120595.9,2630821.7,2025056.0,,542929.0,1008054.8,917834.8,1799917.0,306327.6,440823.9,851415.4
LANL-GrowthRate,318.6,316.4,310.2,235.3,226.9,195.2,193.7,163.5,178.4,186.2,212.7,223.5,251.8,2610872.2,2579202.4,4983181.4,1849278.1,1531747.3,585439.3,959955.1,191031.2,290006.9,339621.7,381411.8,396222.2,492472.8
UCLA-SuEIR,,,,226.4,234.4,186.2,183.5,174.2,163.4,158.0,,,228.8,,,,2013719.9,1358202.2,668734.3,815509.9,672964.5,486050.9,374322.3,,,557988.2
JHUAPL-Bucky,,,,,,,,,179.1,191.0,203.0,202.1,234.1,,,,,,,,,362862.0,377401.3,501351.3,353924.6,1157754.5
RobertWalraven-ESG,,,,,248.4,402.2,172.9,181.9,237.1,224.4,254.9,271.3,296.8,,,,,5989938.4,12965371.9,329829.2,336004.7,593338.6,549380.5,684351.5,731361.2,846743.1
PandemicCentral-USCounty,,,,,,208.3,,201.6,199.6,196.5,234.6,248.9,308.7,,,,,,518851.2,,577444.7,432896.2,450232.3,657810.1,524913.0,838586.5
UVA-Ensemble,,,,,,,,197.9,325.7,324.9,219.2,218.4,223.2,,,,,,,,985844.4,3949842.0,4987564.7,512381.7,758641.8,600677.3
CU-select,620.5,490.9,456.1,330.2,321.2,242.4,338.2,213.8,230.3,309.3,358.4,349.5,380.8,16914565.6,10484599.9,10493350.3,3940529.7,5195730.2,1056070.1,5336290.5,768432.5,611288.5,2349970.7,3372787.2,2813259.0,2746533.2
MITCovAlliance-SIR,,,,,,,208.8,,229.1,228.3,256.2,271.6,311.6,,,,,,,850635.7,,874358.6,910184.2,1116466.7,1176155.7,1406444.4
Yu_Group-CLEP,,,,,,254.0,694.5,,424.0,1052.3,1039.4,468.1,409.6,,,,,,936303.5,14848329.7,,2334639.3,15031294.5,14739173.5,4230315.9,2966705.9
Google_Harvard-CPF,,,,,,,,,,,,,254.4,,,,,,,,,,,,,809534.6
