,mean_abs_error_2020-07-06_2020-08-01,mean_abs_error_2020-07-13_2020-08-08,mean_abs_error_2020-07-20_2020-08-15,mean_abs_error_2020-07-27_2020-08-22,mean_abs_error_2020-08-03_2020-08-29,mean_sq_abs_error_2020-07-06_2020-08-01,mean_sq_abs_error_2020-07-13_2020-08-08,mean_sq_abs_error_2020-07-20_2020-08-15,mean_sq_abs_error_2020-07-27_2020-08-22,mean_sq_abs_error_2020-08-03_2020-08-29
OliverWyman-Navigator,6415.7,9236.5,10794.1,6413.3,4995.6,148028032.7,584896047.5,817590410.1,172279868.1,95132579.4
COVIDhub-baseline,9574.8,5210.5,7144.7,8629.5,9505.8,359730325.0,76135389.1,343430244.6,466038215.7,455895748.0
UCLA-SuEIR,8664.4,9125.9,10749.3,8973.7,8435.5,353140034.4,530843806.8,504605089.6,263337125.2,283394047.5
USC-SI_kJalpha,9636.2,11955.8,14010.6,4726.0,5814.8,606842552.1,731041187.0,950895200.4,114511322.4,128121145.2
LNQ-ens1,,7165.9,11201.7,5926.3,5363.0,,290733623.2,646024283.4,174447085.4,130810620.9
USACE-ERDC_SEIR,13258.2,10055.3,9784.8,8764.5,5563.1,482231043.6,234994511.6,453179732.5,309790003.7,166847758.8
LANL-GrowthRate,13107.2,14212.9,9041.2,9154.4,8112.2,850751878.4,1259586114.3,430426722.4,513403044.9,383260525.8
COVIDhub-ensemble,,,7280.5,6539.9,7079.3,,,281352802.6,248320854.6,233081457.3
JHU_IDD-CovidSP,18310.8,12615.6,8764.6,12241.7,12967.7,1419364750.5,847071822.6,368134726.3,483283789.8,479944238.7
IowaStateLW-STEM,9739.5,15826.7,13508.4,9986.9,9736.5,609553816.3,1464510584.8,1827425596.2,761212973.1,514406609.8
CovidAnalytics-DELPHI,13053.1,11659.0,11813.9,14052.4,16206.4,416918668.5,288643958.4,309718971.6,719945560.4,1078913374.8
DDS-NBDS,,,,7763.1,6933.2,,,,265705400.0,270345630.2
Covid19Sim-Simulator,11047.4,16243.4,19814.8,22214.6,13806.9,699250556.3,2167783339.3,3050934385.3,3407503713.6,847223333.7
RobertWalraven-ESG,32060.3,18076.5,38284.5,22705.6,8792.5,4164107439.6,1723354891.9,25330540776.2,4284482417.4,383089643.3
Geneva-DetGrowth,27804.0,25192.4,22529.0,19635.5,17384.8,3206405776.9,2322163492.3,1802008266.5,1348309250.6,1019513949.4
IHME-CurveFit,,,35634.2,34705.1,35959.3,,,11810043907.8,11858728855.8,9332782611.7
Karlen-pypm,,,49899.3,28494.9,22461.9,,,15407599717.6,4334483468.7,1659993447.0
CovidActNow-SEIR_CAN,25925.1,,,,,7299625556.1,,,,
