,mean_abs_error_2020-07-06_2020-08-22,mean_abs_error_2020-07-13_2020-08-22,mean_abs_error_2020-07-20_2020-08-22,mean_abs_error_2020-07-27_2020-08-22,mean_abs_error_2020-08-03_2020-08-22,mean_abs_error_2020-08-10_2020-08-22,mean_abs_error_2020-08-17_2020-08-22,mean_sq_abs_error_2020-07-06_2020-08-22,mean_sq_abs_error_2020-07-13_2020-08-22,mean_sq_abs_error_2020-07-20_2020-08-22,mean_sq_abs_error_2020-07-27_2020-08-22,mean_sq_abs_error_2020-08-03_2020-08-22,mean_sq_abs_error_2020-08-10_2020-08-22,mean_sq_abs_error_2020-08-17_2020-08-22
COVIDhub-baseline,333.0,273.2,265.6,197.2,142.5,75.3,38.4,2466043.1,2323789.9,2414187.0,1330833.0,796181.2,129907.6,44004.2
USC-SI_kJalpha,719.3,589.1,538.5,182.2,135.2,74.1,35.1,9227528.3,5966369.2,3388569.5,828065.0,481253.6,183621.1,44318.4
LNQ-ens1,,,,170.1,113.5,62.2,23.4,,,,764825.5,373176.4,89609.5,7828.5
COVIDhub-ensemble,,,,159.0,118.0,67.5,27.9,,,,1041649.0,540183.1,109020.5,24051.5
LANL-GrowthRate,810.1,601.4,440.3,237.1,154.3,80.8,32.6,22323292.1,11684687.0,11240421.2,1859829.0,700516.4,118718.5,24893.0
UCLA-SuEIR,,,,225.8,159.0,77.6,37.6,,,,2004201.2,639261.6,127435.0,45643.4
OliverWyman-Navigator,,,,,161.3,74.9,30.5,,,,,564123.6,95461.7,29963.9
JHU_IDD-CovidSP,,,284.9,258.2,176.6,99.2,43.2,,,1604492.8,887999.1,364486.9,127450.3,27132.1
IowaStateLW-STEM,650.9,750.5,437.8,268.1,167.3,,44.9,9523009.6,13849488.6,43246000.3,2608616.4,983327.6,,45450.9
RobertWalraven-ESG,,,,,158.7,142.3,35.9,,,,,1040854.7,830613.3,24755.6
CEID-Walk,,,,,,75.3,39.5,,,,,,124128.9,45795.8
CU-select,,894.9,627.7,329.8,215.0,93.6,45.5,,36199971.8,20713324.6,3941507.1,2251110.0,179900.4,67949.5
MITCovAlliance-SIR,,,,,,,44.4,,,,,,,56510.3
PandemicCentral-USCounty,,,,,,102.3,,,,,,,258314.1,
Yu_Group-CLEP,,,,,,,55.2,,,,,,,63275.8
