,mean_abs_error_2020-07-20_2020-09-12,mean_abs_error_2020-07-27_2020-09-12,mean_abs_error_2020-08-03_2020-09-12,mean_abs_error_2020-08-10_2020-09-12,mean_abs_error_2020-08-17_2020-09-12,mean_abs_error_2020-08-24_2020-09-12,mean_abs_error_2020-08-31_2020-09-12,mean_abs_error_2020-09-07_2020-09-12,mean_sq_abs_error_2020-07-20_2020-09-12,mean_sq_abs_error_2020-07-27_2020-09-12,mean_sq_abs_error_2020-08-03_2020-09-12,mean_sq_abs_error_2020-08-10_2020-09-12,mean_sq_abs_error_2020-08-17_2020-09-12,mean_sq_abs_error_2020-08-24_2020-09-12,mean_sq_abs_error_2020-08-31_2020-09-12,mean_sq_abs_error_2020-09-07_2020-09-12
LNQ-ens1,326.6,254.5,210.7,161.0,124.0,81.2,46.6,19.2,1171948.4,931592.9,657959.3,313626.3,255150.7,69604.7,26392.1,3385.5
COVIDhub-ensemble,358.2,282.8,213.2,160.9,127.2,84.3,49.5,21.7,1576777.2,1134328.8,850275.7,311251.3,285954.7,104466.2,24663.0,4798.0
OliverWyman-Navigator,328.5,257.9,224.0,201.8,145.3,97.1,69.1,32.6,953027.0,537932.9,489738.2,480202.5,449238.6,151789.0,45275.2,9756.0
COVIDhub-baseline,512.0,434.4,350.6,229.7,186.1,106.0,61.2,29.4,10697251.7,7230421.0,5107638.9,1217917.7,980981.3,292701.1,56859.3,11547.6
CEID-Walk,,,,174.8,188.8,109.0,62.8,29.9,,,,466344.7,1042806.3,318692.1,62102.5,13169.1
LANL-GrowthRate,753.1,540.8,390.6,255.2,193.1,107.3,65.8,24.8,32545416.5,10649869.5,4540197.3,1066877.4,958821.1,84712.0,42883.3,5171.6
UCLA-SuEIR,,511.3,400.8,249.1,183.4,117.1,65.8,28.6,,11661628.1,3811226.6,1234370.3,815461.9,304698.9,74113.4,11762.3
USC-SI_kJalpha,731.7,353.6,292.8,205.3,190.8,116.3,83.6,33.2,5118670.5,2233924.6,1616215.4,717115.5,773447.7,269981.4,254901.0,17379.9
JHU_IDD-CovidSP,363.1,299.2,311.3,294.8,197.6,117.5,67.5,30.8,2213407.1,1093522.9,1226886.6,1304407.0,339616.4,115032.7,32750.1,6730.2
RobertWalraven-ESG,,,315.6,425.6,172.2,121.7,96.0,35.2,,,5847558.7,12871119.6,328632.0,158934.7,92413.9,11685.2
CU-select,777.3,565.9,546.5,324.9,337.5,141.9,82.1,36.7,32225234.0,12540121.5,15647259.4,1929915.3,5335276.4,341907.7,81866.2,21985.7
IowaStateLW-STEM,781.3,579.3,396.9,,186.2,147.6,80.1,44.2,112810091.2,12786044.6,5543700.4,,542962.2,582228.3,216431.6,116313.2
JHUAPL-Bucky,,,,,,,67.1,41.7,,,,,,,38431.3,16346.3
PandemicCentral-USCounty,,,,273.0,,142.1,119.1,42.6,,,,798843.8,,436652.5,317761.5,28851.5
MITCovAlliance-SIR,,,,,208.2,,96.8,41.6,,,,,849519.4,,131317.6,23183.4
Yu_Group-CLEP,,,,327.3,694.4,,188.7,40.2,,,,1391305.9,14848080.3,,415738.5,13045.1
UVA-Ensemble,,,,,,141.6,165.0,78.9,,,,,,512779.9,1074739.3,194870.0
