,total_deaths_2020-04-19,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
Baseline,41671,53681.3,54517,12736.3,12846.0,-109.7,-0.9%
Baseline_0.98,41671,53061.2,54517,12116.2,12846.0,-729.8,-5.7%
CU-select,41671,55212.0,54517,14267.0,12846.0,1421.0,11.1%
IHME-CurveFit,41671,51312.3,54517,10367.3,12846.0,-2478.7,-19.3%
YYG-ParamSearch,41671,50936.9,54517,9991.9,12846.0,-2854.1,-22.2%
MOBS_NEU-GLEAM_COVID,41671,49779.2,54517,8834.2,12846.0,-4011.8,-31.2%
Geneva-DetGrowth,41671,49766.0,54517,8821.0,12846.0,-4025.0,-31.3%
UT-Mobility,41671,46184.4,54517,5239.4,12846.0,-7606.6,-59.2%
Imperial-combined,41671,66711.5,54517,25766.5,12846.0,12920.5,100.6%
LANL-GrowthRate,41671,,54517,,12846.0,,
