,actual_deaths,Baseline,Baseline_0.98,Auquan-SEIR,CU-select,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,MIT_CovidAnalytics-DELPHI,NotreDame-FRED,UCLA-SuEIR,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-CU-select,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MIT_CovidAnalytics-DELPHI,error-NotreDame-FRED,error-UCLA-SuEIR,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-CU-select,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MIT_CovidAnalytics-DELPHI,beat_baseline-NotreDame-FRED,beat_baseline-UCLA-SuEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Alabama,773,705.9,575.6,1030.0,1681.0,1051.1,442.0,600.6,462.0,,501.7,543.6,691.9,-67.1,257.0,908.0,278.1,-331.0,-172.4,-311.0,,-271.3,-229.4,-81.1,False,False,False,False,False,False,,False,False,False
Alaska,12,9.0,9.0,34.0,15.0,5.0,,10.1,11.0,,11.6,235.0,13.4,-3.0,22.0,3.0,-7.0,,-1.9,-1.0,,-0.4,223.0,1.4,False,False,False,,True,True,,True,False,True
Arizona,1189,871.6,712.0,1360.0,1218.0,809.6,613.0,786.9,738.0,,631.5,713.4,872.8,-317.4,171.0,29.0,-379.4,-576.0,-402.1,-451.0,,-557.5,-475.6,-316.2,True,True,False,False,False,False,,False,False,True
Arkansas,177,222.4,176.6,181.0,170.0,142.6,170.0,91.0,208.0,,127.6,338.9,184.1,45.4,4.0,-7.0,-34.4,-7.0,-86.0,31.0,,-49.4,161.9,7.1,True,True,True,True,False,True,,False,False,True
California,5076,5091.9,4191.3,8555.0,4708.0,4131.8,4281.0,3891.2,4822.0,,3670.7,3572.4,4308.9,15.9,3479.0,-368.0,-944.2,-795.0,-1184.8,-254.0,,-1405.3,-1503.6,-767.1,False,False,False,False,False,False,,False,False,False
Colorado,1597,1744.0,1461.5,2532.0,1932.0,1280.2,1312.0,1350.5,1875.0,,1406.1,1213.0,1933.5,147.0,935.0,335.0,-316.8,-285.0,-246.5,278.0,,-190.9,-384.0,336.5,False,False,False,False,False,False,,False,False,False
Connecticut,4186,5434.9,4495.8,4479.0,3970.0,3894.6,3314.0,3127.5,6212.0,,3806.2,3451.3,4213.5,1248.9,293.0,-216.0,-291.4,-872.0,-1058.5,2026.0,,-379.8,-734.7,27.5,True,True,True,True,True,False,,True,True,True
Delaware,419,510.9,406.3,644.0,444.0,461.4,334.0,260.4,552.0,,338.1,446.4,459.0,91.9,225.0,25.0,42.4,-85.0,-158.6,133.0,,-80.9,27.4,40.0,False,True,True,True,False,False,,True,True,True
District of Columbia,511,678.6,544.7,806.0,,536.5,476.0,701.5,691.0,,390.4,581.9,571.2,167.6,295.0,,25.5,-35.0,190.5,180.0,,-120.6,70.9,60.2,False,,True,True,False,False,,True,True,True
Florida,2925,3159.6,2602.0,3286.0,4068.0,2926.9,2296.0,2304.3,2138.0,,2078.4,2017.4,2583.3,234.6,361.0,1143.0,1.9,-629.0,-620.7,-787.0,,-846.6,-907.6,-341.7,False,False,True,False,False,False,,False,False,False
Georgia,2447,2753.7,2262.2,2880.0,4240.0,3613.0,2124.0,1732.5,1563.0,,2041.0,1669.6,2411.2,306.7,433.0,1793.0,1166.0,-323.0,-714.5,-884.0,,-406.0,-777.4,-35.8,False,False,False,False,False,False,,False,False,True
Hawaii,17,34.6,29.1,51.0,20.0,24.2,,17.8,23.0,,23.0,100.9,33.7,17.6,34.0,3.0,7.2,,0.8,6.0,,6.0,83.9,16.7,False,True,True,,True,True,,True,False,True
Idaho,87,110.9,96.2,217.0,148.0,82.7,71.0,78.5,90.0,,96.6,225.3,104.5,23.9,130.0,61.0,-4.3,-16.0,-8.5,3.0,,9.6,138.3,17.5,False,False,True,True,True,True,,True,False,True
Illinois,6289,6630.1,5373.7,9202.0,7450.0,5776.0,4875.0,6378.2,8050.0,4747.5,4612.6,4146.9,5839.0,341.1,2913.0,1161.0,-513.0,-1414.0,89.2,1761.0,-1541.5,-1676.4,-2142.1,-450.0,False,False,False,False,True,False,False,False,False,False
Indiana,2413,3000.4,2415.3,3875.0,5587.0,4497.6,1787.0,2293.8,2405.0,2389.0,1990.0,2010.7,2565.7,587.4,1462.0,3174.0,2084.6,-626.0,-119.2,-8.0,-24.0,-423.0,-402.3,152.7,False,False,False,False,True,True,True,True,True,True
Iowa,650,570.6,449.5,1022.0,2968.0,853.4,636.0,586.5,1724.0,,528.0,1415.3,646.6,-79.4,372.0,2318.0,203.4,-14.0,-63.5,1074.0,,-122.0,765.3,-3.4,False,False,False,True,True,False,,False,False,True
Kansas,245,278.7,236.5,532.0,394.0,232.6,661.0,271.6,753.0,,403.7,221.1,282.9,33.7,287.0,149.0,-12.4,416.0,26.6,508.0,,158.7,-23.9,37.9,False,False,True,False,True,False,,False,True,False
Kentucky,499,516.6,434.0,901.0,339.0,470.0,321.0,447.8,515.0,457.0,499.9,402.1,472.9,17.6,402.0,-160.0,-29.0,-178.0,-51.2,16.0,-42.0,0.9,-96.9,-26.1,False,False,False,False,False,True,False,True,False,False
Louisiana,3004,3669.6,3150.5,3766.0,2673.0,2790.3,2457.0,2776.9,2287.0,,2845.1,2378.6,3225.0,665.6,762.0,-331.0,-213.7,-547.0,-227.1,-717.0,,-158.9,-625.4,221.0,False,True,True,True,True,False,,True,True,True
Maine,100,98.0,85.2,162.0,196.0,78.9,61.0,97.4,106.0,,84.6,247.9,121.2,-2.0,62.0,96.0,-21.1,-39.0,-2.6,6.0,,-15.4,147.9,21.2,False,False,False,False,False,False,,False,False,False
Maryland,2926,3454.0,2773.5,4838.0,3081.0,2141.1,2121.0,3012.8,3581.0,,2170.5,1836.4,2787.2,528.0,1912.0,155.0,-784.9,-805.0,86.8,655.0,,-755.5,-1089.6,-138.8,False,True,False,False,True,False,,False,False,True
Massachusetts,7576,10476.1,8449.4,9309.0,7819.0,7522.1,6829.0,7140.3,12237.0,,6654.7,6129.6,8166.1,2900.1,1733.0,243.0,-53.9,-747.0,-435.7,4661.0,,-921.3,-1446.4,590.1,True,True,True,True,True,False,,True,True,True
Michigan,6013,8668.4,7287.3,7138.0,6470.0,6756.2,5002.0,5496.5,6279.0,7394.0,5751.1,5133.5,7211.5,2655.4,1125.0,457.0,743.2,-1011.0,-516.5,266.0,1381.0,-261.9,-879.5,1198.5,True,True,True,True,True,True,True,True,True,True
