,actual_deaths,Baseline,IHME-CurveFit,error-Baseline,error-IHME-CurveFit,beat_baseline-IHME-CurveFit
Alabama,838,723.9,290.0,-114.1,-548.0,False
Alaska,12,17.9,16.5,5.9,4.5,True
Arizona,1346,706.6,479.6,-639.4,-866.4,False
Arkansas,224,145.3,130.8,-78.7,-93.2,False
California,5494,5933.3,1743.4,439.3,-3750.6,False
Colorado,1647,1580.3,648.7,-66.7,-998.3,False
Connecticut,4251,6202.1,2884.0,1951.1,-1367.0,True
Delaware,434,350.4,135.9,-83.6,-298.1,False
District of Columbia,531,503.4,213.1,-27.6,-317.9,False
Florida,3144,3546.3,1536.6,402.3,-1607.4,False
Georgia,2642,2936.7,1980.9,294.7,-661.1,False
Hawaii,17,18.9,26.1,1.9,9.1,False
Idaho,89,194.6,61.2,105.6,-27.8,True
Illinois,6625,6338.6,2093.0,-286.4,-4532.0,False
Indiana,2536,2501.7,930.5,-34.3,-1605.5,False
Iowa,681,376.1,441.8,-304.9,-239.2,True
Kansas,256,420.7,272.6,164.7,16.6,True
Kentucky,524,580.0,466.2,56.0,-57.8,False
Louisiana,3104,5334.9,1703.8,2230.9,-1400.2,True
Maine,102,166.9,53.3,64.9,-48.7,True
Maryland,3052,2453.9,1111.5,-598.1,-1940.5,False
Massachusetts,7828,10120.3,3897.9,2292.3,-3930.1,False
Michigan,6087,10468.7,3361.2,4541.7,-2565.8,True
Minnesota,1404,700.9,301.3,-703.1,-1102.7,False
Mississippi,938,717.0,398.5,-221.0,-539.5,False
Missouri,973,916.4,385.5,-13.6,-544.5,False
Montana,20,45.4,14.2,25.4,-5.8,True
Nebraska,244,125.4,244.8,-118.6,0.8,True
Nevada,486,565.4,240.0,79.4,-246.0,False
New Hampshire,339,170.9,70.3,-168.1,-268.7,False
New Jersey,14785,22182.6,7116.0,8540.6,-6526.0,True
New Mexico,466,311.9,104.7,-154.1,-361.3,False
New York,31817,64107.7,23741.0,32407.7,-7959.0,True
North Carolina,1215,1183.1,309.8,-31.9,-905.2,False
North Dakota,76,26.7,271.8,-49.3,195.8,False
Ohio,2697,2401.9,770.6,-295.1,-1926.4,False
Oklahoma,368,529.7,306.2,161.7,-61.8,True
Oregon,189,268.9,120.3,79.9,-68.7,True
Pennsylvania,6419,7644.3,2323.2,1225.3,-4095.8,False
Rhode Island,908,920.6,577.8,9.6,-333.2,False
South Carolina,644,456.6,261.3,-187.4,-382.7,False
South Dakota,81,15.9,98.2,-65.1,17.2,True
Tennessee,524,520.0,234.7,-4.0,-289.3,False
Texas,2357,2323.4,1165.7,22.4,-1135.3,False
Utah,155,106.7,222.9,-48.3,67.9,False
Vermont,56,135.4,42.8,79.4,-13.2,True
Virginia,1607,1481.6,771.3,-125.4,-835.7,False
Washington,1265,1787.4,779.2,522.4,-485.8,True
West Virginia,88,124.3,34.5,36.3,-53.5,False
Wisconsin,772,893.1,340.3,159.1,-393.7,False
Wyoming,20,19.7,243.4,-0.3,223.4,False
US,122540,172553.3,65969.4,51567.3,-55016.6,False
