,actual_deaths,Baseline,Baseline_0.98,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MIT_CovAlliance-SIR,MIT_CovidAnalytics-DELPHI,MOBS_NEU-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Baseline_0.98,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MIT_CovAlliance-SIR,error-MIT_CovidAnalytics-DELPHI,error-MOBS_NEU-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MIT_CovAlliance-SIR,beat_baseline-MIT_CovidAnalytics-DELPHI,beat_baseline-MOBS_NEU-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,1114,1067.6,1051.0,1068.0,1081.0,1100.7,1521.0,1084.8,1033.8,,1098.9,1010.0,1161.6,1028.0,1260.9,1245.0,1040.9,,1044.3,1144.1,1039.0,1010.0,1041.0,1043.8,1068.0,890.3,1075.3,1103.0,1085.7,,-46.4,-63.0,-46.0,-33.0,-13.3,407.0,-29.2,-80.2,,-15.1,-104.0,47.6,-86.0,146.9,131.0,-73.1,,-69.7,30.1,-75.0,-104.0,-73.0,-70.2,-46.0,-223.7,-38.7,-11.0,-28.3,,True,True,True,False,True,False,,True,False,False,False,False,False,False,,False,True,False,False,False,False,True,False,True,True,True,
Alaska,17,17.7,17.3,17.0,18.0,15.6,14.0,15.5,16.8,,12.7,,20.7,16.2,11.9,17.0,15.7,,19.0,17.9,14.0,14.0,17.0,14.4,17.0,17.8,16.5,14.0,16.5,,0.7,0.3,0.0,1.0,-1.4,-3.0,-1.5,-0.2,,-4.3,,3.7,-0.8,-5.1,0.0,-1.3,,2.0,0.9,-3.0,-3.0,0.0,-2.6,0.0,0.8,-0.5,-3.0,-0.5,,True,False,False,False,False,True,,False,,False,False,False,True,False,,False,False,False,False,True,False,True,False,True,False,True,
Arizona,2151,2049.0,1998.2,2140.0,2048.0,2147.3,2736.0,2368.1,2067.4,,2147.7,1822.0,2199.0,2192.6,1713.8,2706.0,1998.7,,2037.3,2167.3,1996.5,1840.0,2205.0,1990.2,2344.0,1641.6,2217.5,2151.0,2069.9,1941.7,-102.0,-152.8,-11.0,-103.0,-3.7,585.0,217.1,-83.6,,-3.3,-329.0,48.0,41.6,-437.2,555.0,-152.3,,-113.7,16.3,-154.5,-311.0,54.0,-160.8,193.0,-509.4,66.5,0.0,-81.1,-209.3,True,False,True,False,False,True,,True,False,True,True,False,False,False,,False,True,False,False,True,False,False,False,True,True,True,False
Arkansas,319,336.4,328.3,378.0,329.0,368.6,600.0,306.1,336.2,,359.8,278.0,384.1,335.4,285.3,387.0,354.1,,358.6,367.4,317.0,340.0,340.0,305.5,362.0,296.0,318.6,380.5,343.8,,17.4,9.3,59.0,10.0,49.6,281.0,-12.9,17.2,,40.8,-41.0,65.1,16.4,-33.7,68.0,35.1,,39.6,48.4,-2.0,21.0,21.0,-13.5,43.0,-23.0,-0.4,61.5,24.8,,False,True,False,False,True,True,,False,False,False,True,False,False,False,,False,False,True,False,False,True,False,False,True,False,False,
California,7027,6706.4,6620.0,6963.0,6709.1,6879.5,7788.0,6784.9,6780.1,,6810.5,6444.0,7689.9,6597.5,8061.4,7771.0,6633.3,,6569.5,6808.4,6657.0,6595.0,6643.0,6650.4,6869.0,6118.1,7095.2,6884.5,6801.0,6819.0,-320.6,-407.0,-64.0,-317.9,-147.5,761.0,-242.1,-246.9,,-216.5,-583.0,662.9,-429.5,1034.4,744.0,-393.7,,-457.5,-218.6,-370.0,-432.0,-384.0,-376.6,-158.0,-908.9,68.2,-142.5,-226.0,-208.0,True,True,True,False,True,True,,True,False,False,False,False,False,False,,False,True,False,False,False,False,True,False,True,True,True,True
Colorado,1725,1729.9,1723.8,1783.0,1731.4,1753.1,1761.0,1772.5,1763.4,,1730.1,1761.0,1812.8,1776.0,1774.3,1732.0,1760.6,,1719.9,1742.4,1734.5,1780.0,1715.0,1740.3,1742.0,1801.8,1768.8,1732.0,1749.0,,4.9,-1.2,58.0,6.4,28.1,36.0,47.5,38.4,,5.1,36.0,87.8,51.0,49.3,7.0,35.6,,-5.1,17.4,9.5,55.0,-10.0,15.3,17.0,76.8,43.8,7.0,24.0,,False,False,False,False,False,False,,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,
Connecticut,4348,4420.0,4408.4,4461.0,4441.5,4396.9,4364.0,4432.5,4384.1,,4376.2,4391.0,4452.1,4408.7,4487.0,4366.0,4441.5,,4391.5,4374.7,4388.0,4376.0,4383.0,4407.4,4379.0,4506.9,4371.1,4395.0,4409.9,,72.0,60.4,113.0,93.5,48.9,16.0,84.5,36.1,,28.2,43.0,104.1,60.7,139.0,18.0,93.5,,43.5,26.7,40.0,28.0,35.0,59.4,31.0,158.9,23.1,47.0,61.9,,False,False,True,True,False,True,,True,True,False,True,False,True,False,,True,True,True,True,True,True,True,False,True,True,True,
Delaware,517,640.7,625.8,560.0,653.0,544.5,538.0,496.3,,,532.9,556.0,584.0,542.2,506.0,525.0,564.9,,510.7,527.1,532.0,560.0,512.0,528.1,590.0,516.6,568.8,548.0,531.2,,123.7,108.8,43.0,136.0,27.5,21.0,-20.7,,,15.9,39.0,67.0,25.2,-11.0,8.0,47.9,,-6.3,10.1,15.0,43.0,-5.0,11.1,73.0,-0.4,51.8,31.0,14.2,,True,False,True,True,True,,,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,
District of Columbia,568,581.6,578.0,583.0,582.0,573.1,568.0,567.4,571.7,,578.7,599.0,585.8,567.8,547.9,563.0,,,570.1,569.6,554.0,576.0,572.0,577.0,568.0,578.0,565.3,576.0,576.5,,13.6,10.0,15.0,14.0,5.1,0.0,-0.6,3.7,,10.7,31.0,17.8,-0.2,-20.1,-5.0,,,2.1,1.6,-14.0,8.0,4.0,9.0,0.0,10.0,-2.7,8.0,8.5,,False,False,True,True,True,True,,True,False,False,True,False,True,,,True,True,False,True,True,True,True,True,True,True,True,
Florida,4197,3898.1,3844.7,4154.0,3882.0,4268.4,7432.0,4817.3,,,4111.2,3815.0,4227.7,4329.8,4551.7,4378.0,3734.9,,3809.0,4324.0,3720.5,3751.0,4434.0,3962.0,4815.0,2878.3,4806.2,4136.0,4014.9,3889.7,-298.9,-352.3,-43.0,-315.0,71.4,3235.0,620.3,,,-85.8,-382.0,30.7,132.8,354.7,181.0,-462.1,,-388.0,127.0,-476.5,-446.0,237.0,-235.0,618.0,-1318.7,609.2,-61.0,-182.1,-307.3,True,False,True,False,False,,,True,False,True,True,False,True,False,,False,True,False,False,True,True,False,False,False,True,True,False
Georgia,2996,3028.7,3000.7,3148.0,3044.0,3139.9,3474.0,3136.7,3050.2,3386.3,3196.4,3175.0,3151.4,3197.6,3099.5,3218.0,3036.1,,2931.7,3157.7,3031.0,3052.0,3058.0,3099.0,3330.0,2676.3,3290.1,3026.5,3109.7,3220.0,32.7,4.7,152.0,48.0,143.9,478.0,140.7,54.2,390.3,200.4,179.0,155.4,201.6,103.5,222.0,40.1,,-64.3,161.7,35.0,56.0,62.0,103.0,334.0,-319.7,294.1,30.5,113.7,224.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,False
