,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,NotreDame-FRED,PSI-DRAFT,SWC-TerminusCM,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-NotreDame-FRED,error-PSI-DRAFT,error-SWC-TerminusCM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Alabama,1286,1055.1,950.0,959.2,819.0,968.0,,867.0,1251.0,938.4,1084.8,1279.6,-230.9,-336.0,-326.8,-467.0,-318.0,,-419.0,-35.0,-347.6,-201.2,-6.4,False,False,False,False,,False,True,False,True,True
Alaska,18,10.0,14.1,10.3,,14.5,,30.0,,10.8,10.8,10.9,-8.0,-3.9,-7.7,,-3.5,,12.0,,-7.2,-7.2,-7.1,True,True,,True,,False,,True,True,True
Arizona,2730,1894.4,1294.8,3191.1,1675.0,2669.4,,1744.0,2450.0,2121.5,2714.1,2060.5,-835.6,-1435.2,461.1,-1055.0,-60.6,,-986.0,-280.0,-608.5,-15.9,-669.5,False,True,False,True,,False,True,True,True,True
Arkansas,357,277.0,290.0,500.7,245.0,288.8,,230.0,241.0,293.9,391.4,312.1,-80.0,-67.0,143.7,-112.0,-68.2,,-127.0,-116.0,-63.1,34.4,-44.9,True,False,False,True,,False,False,True,True,True
California,7702,7326.3,6135.6,7735.1,6448.0,6144.8,,6801.0,7109.0,6560.2,7878.9,7631.6,-375.7,-1566.4,33.1,-1254.0,-1557.2,,-901.0,-593.0,-1141.8,176.9,-70.4,False,True,False,False,,False,False,False,True,True
Colorado,1752,2007.3,1683.2,1963.4,1719.0,1786.3,,1783.0,2034.0,2187.7,1688.5,2120.4,255.3,-68.8,211.4,-33.0,34.3,,31.0,282.0,435.7,-63.5,368.4,True,True,True,True,,True,False,False,True,False
Connecticut,4396,4814.9,4370.5,4295.7,4418.0,4608.4,,4312.0,4429.0,4849.0,4076.0,4663.2,418.9,-25.5,-100.3,22.0,212.4,,-84.0,33.0,453.0,-320.0,267.2,True,True,True,True,,True,True,False,True,True
Delaware,523,585.4,432.3,450.9,464.0,456.2,,636.0,572.0,488.7,433.6,547.7,62.4,-90.7,-72.1,-59.0,-66.8,,113.0,49.0,-34.3,-89.4,24.7,False,False,True,False,,False,True,True,False,True
District of Columbia,578,623.7,532.3,570.9,639.0,586.4,,452.5,613.0,738.2,557.7,599.4,45.7,-45.7,-7.1,61.0,8.4,,-125.5,35.0,160.2,-20.3,21.4,True,True,False,True,,False,True,False,True,True
Florida,4895,4158.4,3102.9,3874.2,3777.0,3967.1,,3710.0,3813.0,4023.9,3497.0,4473.9,-736.6,-1792.1,-1020.8,-1118.0,-927.9,,-1185.0,-1082.0,-871.1,-1398.0,-421.1,False,False,False,False,,False,False,False,False,True
Georgia,3169,2923.9,2567.2,3547.8,2606.0,2852.6,,2961.0,3179.0,2753.5,2519.4,3255.1,-245.1,-601.8,378.8,-563.0,-316.4,,-208.0,10.0,-415.5,-649.6,86.1,False,False,False,False,,True,True,False,False,True
Hawaii,24,17.0,17.7,18.0,,22.6,,15.0,306.0,18.2,17.7,19.1,-7.0,-6.3,-6.0,,-1.4,,-9.0,282.0,-5.8,-6.3,-4.9,True,True,,True,,False,False,True,True,True
Idaho,119,88.9,105.4,123.0,83.0,103.5,,85.0,83.0,91.2,83.5,93.7,-30.1,-13.6,4.0,-36.0,-15.5,,-34.0,-36.0,-27.8,-35.5,-25.3,True,True,False,True,,False,False,True,False,True
Illinois,7483,8914.6,6652.6,7144.3,7600.0,7185.4,8110.0,23332.5,8760.0,8223.4,6611.9,8098.2,1431.6,-830.4,-338.7,117.0,-297.6,627.0,15849.5,1277.0,740.4,-871.1,615.2,True,True,True,True,True,False,True,True,True,True
Indiana,2820,3292.9,2551.2,2781.2,2423.0,2898.1,3476.5,2578.0,3310.0,2942.4,2754.4,3486.4,472.9,-268.8,-38.8,-397.0,78.1,656.5,-242.0,490.0,122.4,-65.6,666.4,True,True,True,True,False,True,False,True,True,False
Iowa,789,1015.0,748.5,1174.8,726.0,851.9,,1849.0,1140.0,840.9,666.1,1104.1,226.0,-40.5,385.8,-63.0,62.9,,1060.0,351.0,51.9,-122.9,315.1,True,False,True,True,,False,False,True,True,False
Kansas,308,338.4,282.6,368.9,323.0,260.4,,310.0,256.0,290.6,231.2,315.9,30.4,-25.4,60.9,15.0,-47.6,,2.0,-52.0,-17.4,-76.8,7.9,True,False,True,False,,True,False,True,False,True
Kentucky,667,698.4,536.2,809.0,556.0,636.2,708.0,533.0,799.0,796.0,695.5,745.4,31.4,-130.8,142.0,-111.0,-30.8,41.0,-134.0,132.0,129.0,28.5,78.4,False,False,False,True,False,False,False,False,True,False
Louisiana,3509,3785.3,3124.5,3183.6,3195.0,3501.4,,3263.0,3191.0,3267.5,2884.7,3669.3,276.3,-384.5,-325.4,-314.0,-7.6,,-246.0,-318.0,-241.5,-624.3,160.3,False,False,False,True,,True,False,True,False,True
Maine,117,157.6,118.9,200.2,120.0,131.5,,113.5,114.0,109.4,152.7,126.6,40.6,1.9,83.2,3.0,14.5,,-3.5,-3.0,-7.6,35.7,9.6,True,False,True,True,,True,True,True,True,True
Maryland,3368,4020.0,3297.2,3500.6,3676.0,3325.0,,3249.5,4672.0,3922.6,3532.9,4337.9,652.0,-70.8,132.6,308.0,-43.0,,-118.5,1304.0,554.6,164.9,969.9,True,True,True,True,,True,False,True,True,False
Massachusetts,8419,10068.9,7980.4,8013.6,8760.0,8305.3,,7494.0,8479.0,8722.9,7349.0,8525.5,1649.9,-438.6,-405.4,341.0,-113.7,,-925.0,60.0,303.9,-1070.0,106.5,True,True,True,True,,True,True,True,True,True
Michigan,6364,8261.3,5935.5,6303.1,6989.0,7319.0,7098.0,5934.5,7016.0,6642.1,5658.4,6558.5,1929.3,-396.5,-28.9,657.0,987.0,766.0,-397.5,684.0,310.1,-673.6,226.5,True,True,True,True,True,True,True,True,True,True
Minnesota,1578,2058.0,1531.7,1925.8,1683.0,1724.7,2100.0,1507.0,2115.0,1735.6,1408.3,2338.7,480.0,-46.3,347.8,105.0,146.7,522.0,-71.0,537.0,157.6,-169.7,760.7,True,True,True,True,False,True,False,True,True,False
Mississippi,1346,1303.1,958.2,1286.5,915.0,1075.5,,1471.0,1586.0,1085.7,1141.4,1443.7,-42.9,-387.8,-59.5,-431.0,-270.5,,125.0,240.0,-260.3,-204.6,97.7,False,False,False,False,,False,False,False,False,False
Missouri,1136,1043.4,913.9,1151.7,1023.0,1099.5,,1152.0,1566.0,1388.8,1049.5,1398.9,-57.6,-187.1,50.7,-78.0,-1.5,,51.0,465.0,287.8,-51.5,297.9,False,True,False,True,,True,False,False,True,False
Montana,37,23.9,19.4,18.6,18.0,26.5,,15.0,44.0,20.6,16.3,20.6,-13.1,-17.6,-18.4,-19.0,-10.5,,-22.0,7.0,-16.4,-20.7,-16.4,False,False,False,True,,False,True,False,False,False
Nebraska,301,286.6,312.4,414.9,264.0,237.1,,531.0,313.0,297.6,209.1,346.1,-14.4,11.4,113.9,-37.0,-63.9,,230.0,12.0,-3.4,-91.9,45.1,True,False,False,False,,False,True,True,False,False
