,actual_deaths,Baseline,Auquan-SEIR,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,MITCovAlliance-SIR,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-MITCovAlliance-SIR,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-MITCovAlliance-SIR,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Alabama,2152,1698.4,1414.0,,1887.2,2783.0,2022.2,1553.0,1937.8,,1662.8,2127.0,2563.7,2118.9,-453.6,-738.0,,-264.8,631.0,-129.8,-599.0,-214.2,,-489.2,-25.0,411.7,-33.1,False,,True,False,True,False,True,,False,True,True,True
Alaska,37,31.7,26.0,,36.9,25.0,13.6,,14.7,,19.2,77.9,281.7,34.0,-5.3,-11.0,,-0.1,-12.0,-23.4,,-22.3,,-17.8,40.9,244.7,-3.0,False,,True,False,False,,False,,False,False,False,True
Arizona,5007,3640.0,3466.0,,6193.6,7941.0,3860.7,5651.0,2033.0,,3450.1,4295.3,3825.3,4539.8,-1367.0,-1541.0,,1186.6,2934.0,-1146.3,644.0,-2974.0,,-1556.9,-711.7,-1181.7,-467.2,False,,True,False,True,True,False,,False,True,True,True
Arkansas,772,467.7,425.0,,745.7,791.0,523.1,1212.0,388.1,,449.7,614.0,558.3,687.0,-304.3,-347.0,,-26.3,19.0,-248.9,440.0,-383.9,,-322.3,-158.0,-213.7,-85.0,False,,True,True,True,False,False,,False,True,True,True
California,12894,9838.0,8144.0,,12484.6,14917.0,11120.8,10288.0,15484.1,,9555.2,12825.7,11175.1,11062.9,-3056.0,-4750.0,,-409.4,2023.0,-1773.2,-2606.0,2590.1,,-3338.8,-68.3,-1718.9,-1831.1,False,,True,True,True,True,True,,False,True,True,True
Colorado,1942,1897.4,1884.0,,1943.0,1894.0,1834.8,1823.0,1849.1,,1918.3,1956.9,2224.0,2104.0,-44.6,-58.0,,1.0,-48.0,-107.2,-119.0,-92.9,,-23.7,14.9,282.0,162.0,False,,True,False,False,False,False,,True,True,False,False
Connecticut,4465,4484.3,4572.0,,4455.2,4410.0,4551.2,4875.0,4606.2,,4517.1,4427.1,4510.9,4522.0,19.3,107.0,,-9.8,-55.0,86.2,410.0,141.2,,52.1,-37.9,45.9,57.0,False,,True,False,False,False,False,,False,False,False,False
Delaware,604,551.3,668.0,,631.7,604.0,573.5,603.0,554.3,,615.0,556.1,1110.2,609.8,-52.7,64.0,,27.7,0.0,-30.5,-1.0,-49.7,,11.0,-47.9,506.2,5.8,False,,True,True,True,True,True,,True,True,False,True
District of Columbia,605,629.7,614.0,,587.1,583.0,629.7,657.0,555.5,,622.7,594.6,606.6,632.5,24.7,9.0,,-17.9,-22.0,24.7,52.0,-49.5,,17.7,-10.4,1.6,27.5,True,,True,True,True,False,False,,True,True,True,False
Florida,11105,6182.4,5461.0,,16776.9,14075.0,9221.4,5448.0,6789.9,,6364.5,12673.3,15145.4,7603.1,-4922.6,-5644.0,,5671.9,2970.0,-1883.6,-5657.0,-4315.1,,-4740.5,1568.3,4040.4,-3501.9,False,,False,True,True,False,True,,True,True,True,True
