,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-STH-3PU
Alabama,2866,2300.4,2730.8,4285.5,,-565.6,-135.2,1419.5,,True,False,
Alaska,68,49.7,21.9,79.9,,-18.3,-46.1,11.9,,False,True,
Arizona,5869,3831.0,8147.0,9525.1,,-2038.0,2278.0,3656.1,,False,False,
Arkansas,1797,650.4,890.8,1811.0,,-1146.6,-906.2,14.0,,True,True,
California,17343,13905.3,15565.8,24531.5,,-3437.7,-1777.2,7188.5,,True,False,
Colorado,2218,2936.9,2140.9,7117.4,,718.9,-77.1,4899.4,,True,False,
Connecticut,4577,6652.4,4867.6,4457.2,,2075.4,290.6,-119.8,,True,True,
Delaware,680,874.6,544.7,600.8,,194.6,-135.3,-79.2,,True,True,
District of Columbia,642,1005.3,701.5,811.7,,363.3,59.5,169.7,,True,True,
Florida,16417,7287.0,7575.4,31141.0,,-9130.0,-8841.6,14724.0,,True,False,
Georgia,7808,7561.3,3955.2,13387.4,,-246.7,-3852.8,5579.4,,False,False,
Hawaii,212,17.0,19.3,36.7,,-195.0,-192.7,-175.3,,True,True,
Idaho,572,162.4,226.0,110.1,,-409.6,-346.0,-461.9,,True,False,
Illinois,9751,13926.3,7972.5,8663.7,,4175.3,-1778.5,-1087.3,,True,True,
Indiana,4118,4666.0,3319.2,3627.8,,548.0,-798.8,-490.2,,False,True,
Iowa,1634,1538.3,1375.0,1301.1,,-95.7,-259.0,-332.9,,False,False,
Kansas,956,471.3,333.5,453.6,,-484.7,-622.5,-502.4,,False,False,
Kentucky,1404,1045.9,861.1,852.5,,-358.1,-542.9,-551.5,,False,False,
Louisiana,5820,4484.9,4094.1,4384.4,,-1335.1,-1725.9,-1435.6,,False,False,
Maine,146,118.9,174.4,207.4,,-27.1,28.4,61.4,,False,False,
Maryland,4091,6521.9,4844.9,6012.2,,2430.9,753.9,1921.2,,True,True,
Massachusetts,9839,13432.0,8857.4,8924.5,,3593.0,-981.6,-914.5,,True,True,
Michigan,7522,7694.3,6594.0,9141.1,,172.3,-928.0,1619.1,,False,False,
Minnesota,2381,3818.1,2196.4,3869.2,,1437.1,-184.6,1488.2,,True,False,
Mississippi,3255,2286.4,2456.3,1362.5,,-968.6,-798.7,-1892.5,,True,False,
Missouri,2808,1545.0,1477.6,1822.9,,-1259.0,-1326.4,-981.1,,False,True,
Montana,294,37.9,20.8,34.0,,-256.1,-273.2,-260.0,,False,False,
Nebraska,595,743.0,493.0,716.4,,148.0,-102.0,121.4,,True,True,
Nevada,1739,934.4,766.2,1043.8,,-804.6,-972.8,-695.2,,False,True,
New Hampshire,473,961.1,666.6,915.0,,488.1,193.6,442.0,,True,True,
New Jersey,16281,21767.0,13518.8,14461.7,,7342.0,-906.2,36.7,,True,True,
New Mexico,965,1170.4,1008.3,1056.0,,205.4,43.3,91.0,,True,True,
New York,33418,39329.6,31900.9,34480.9,,6681.6,-747.1,1832.9,,True,True,
North Carolina,4144,3017.7,5033.1,3377.5,,-1126.3,889.1,-766.5,,True,True,
North Dakota,448,111.7,121.0,132.1,,-336.3,-327.0,-315.9,,True,True,
Ohio,5206,5953.3,4065.1,3816.8,,747.3,-1140.9,-1389.2,,False,False,
Oklahoma,1245,566.4,466.7,612.3,,-678.6,-778.3,-632.7,,False,True,
Oregon,653,361.6,284.8,1518.2,,-288.4,-365.2,868.2,,False,False,
Pennsylvania,8636,11344.1,9226.0,9615.1,,2708.1,590.0,979.1,,True,True,
Rhode Island,1177,1983.3,1193.2,1187.4,,856.3,66.2,60.4,,True,True,
South Carolina,3793,1618.3,2558.6,3433.8,,-2174.7,-1234.4,-359.2,,True,True,
South Dakota,366,263.6,160.0,187.0,,-102.4,-206.0,-179.0,,False,False,
Tennessee,3100,1530.0,1022.8,2448.5,,-1570.0,-2077.2,-651.5,,False,True,
Texas,17915,4680.6,5858.4,7358.4,12912.0,-13071.4,-11893.6,-10393.6,-4840.0,True,True,True
Utah,568,478.4,1615.7,854.7,,-89.6,1047.7,286.7,,False,False,
Vermont,58,55.0,93.9,66.2,,-3.0,35.9,8.2,,False,False,
Virginia,3574,2941.4,2491.6,2356.8,,-632.6,-1082.4,-1217.2,,False,False,
Washington,2296,2348.4,2091.6,2303.0,,52.4,-204.4,7.0,,False,True,
West Virginia,424,163.4,130.4,157.4,,-260.6,-293.6,-266.6,,False,False,
Wisconsin,1770,1540.6,1485.1,1525.1,,-229.4,-284.9,-244.9,,False,False,
Wyoming,68,36.9,31.1,29.0,,-31.1,-36.9,-39.0,,False,False,
US,224889,212978.3,178656.6,242205.5,186202.0,-9064.7,-43386.4,20162.5,-35841.0,False,False,False
