,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,MITCovAlliance-SIR,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
Alabama,2967,3171.7,9784.0,3522.4,,3828.0,2919.0,3062.7,2765.0,2574.4,,2899.5,2799.1,3250.0,2535.6,2883.8,204.7,6817.0,555.4,,861.0,-48.0,95.7,-202.0,-392.6,,-67.5,-167.9,283.0,-431.4,-83.2,False,False,,False,True,True,True,False,,True,True,False,False,True
Alaska,82,81.3,93.0,87.1,,56.3,,66.4,142.3,47.0,,63.0,85.8,70.0,54.6,77.6,-0.7,11.0,5.1,,-25.7,,-15.6,60.3,-35.0,,-19.0,3.8,-12.0,-27.4,-4.4,False,False,,False,,False,False,False,,False,False,False,False,False
Arizona,5979,6721.7,5941.0,6153.1,,6375.8,7010.0,5807.8,5962.8,5702.2,,6289.1,5869.1,6441.0,6020.5,5978.0,742.7,-38.0,174.1,,396.8,1031.0,-171.2,-16.2,-276.8,,310.1,-109.9,462.0,41.5,-1.0,True,True,,True,False,True,True,True,,True,True,True,True,True
Arkansas,1925,1758.3,2208.0,1817.9,,2261.3,1501.0,1407.1,1443.5,1163.5,,1533.7,1337.8,1635.0,1151.1,1411.0,-166.7,283.0,-107.1,,336.3,-424.0,-517.9,-481.5,-761.5,,-391.3,-587.2,-290.0,-773.9,-514.0,False,True,,False,False,False,False,False,,False,False,False,False,False
California,17659,19969.6,16611.0,16934.5,,21706.3,19314.0,17618.1,19160.1,15374.3,,18954.2,17399.1,16863.0,16456.1,18130.3,2310.6,-1048.0,-724.5,,4047.3,1655.0,-40.9,1501.1,-2284.7,,1295.2,-259.9,-796.0,-1202.9,471.3,True,True,,False,True,True,True,True,,True,True,True,True,True
Colorado,2285,2207.7,2221.0,2123.2,,2258.8,2196.0,2092.9,2160.5,2021.1,,2110.7,2543.3,2132.0,2057.4,2142.6,-77.3,-64.0,-161.8,,-26.2,-89.0,-192.1,-124.5,-263.9,,-174.3,258.3,-153.0,-227.6,-142.4,True,False,,True,False,False,False,False,,False,False,False,False,False
Connecticut,4616,4491.6,4744.0,4534.5,,4554.8,4580.0,4542.5,4631.5,4491.1,,4510.3,4954.9,4492.0,4516.9,4541.1,-124.4,128.0,-81.5,,-61.2,-36.0,-73.5,15.5,-124.9,,-105.7,338.9,-124.0,-99.1,-74.9,False,True,,True,True,True,True,False,,True,False,True,True,True
Delaware,708,648.3,615.0,657.1,,724.2,647.0,634.4,643.4,629.5,,636.2,821.7,668.0,643.5,650.0,-59.7,-93.0,-50.9,,16.2,-61.0,-73.6,-64.6,-78.5,,-71.8,113.7,-40.0,-64.5,-58.0,False,True,,True,False,False,False,False,,False,False,True,False,True
District of Columbia,646,650.3,638.0,634.1,,677.1,634.0,640.8,637.8,631.6,,660.1,725.2,637.0,626.7,637.3,4.3,-8.0,-11.9,,31.1,-12.0,-5.2,-8.2,-14.4,,14.1,79.2,-9.0,-19.3,-8.7,False,False,,False,False,False,False,False,,False,False,False,False,False
Florida,16761,17584.7,15012.0,14567.2,,16535.3,16377.0,14868.5,22862.5,13214.8,,15959.5,14525.5,15250.0,14347.2,14506.9,823.7,-1749.0,-2193.8,,-225.7,-384.0,-1892.5,6101.5,-3546.2,,-801.5,-2235.5,-1511.0,-2413.8,-2254.1,False,False,,True,True,False,False,False,,True,False,False,False,False
Georgia,7979,9439.1,8070.0,8128.7,,10499.1,7731.0,7911.5,8878.4,7244.5,,7987.6,7782.2,7827.0,7187.2,8156.7,1460.1,91.0,149.7,,2520.1,-248.0,-67.5,899.4,-734.5,,8.6,-196.8,-152.0,-791.8,177.7,True,True,,False,True,True,True,True,,True,True,True,True,True
Hawaii,219,257.9,175.0,271.6,,130.6,,249.2,143.2,152.9,,265.2,154.1,242.0,125.1,241.0,38.9,-44.0,52.6,,-88.4,,30.2,-75.8,-66.1,,46.2,-64.9,23.0,-93.9,22.0,False,False,,False,,True,False,False,,False,False,True,False,True
Idaho,629,589.3,564.0,566.9,,1136.1,636.0,551.5,1980.7,406.5,,554.6,457.3,497.0,484.0,584.6,-39.7,-65.0,-62.1,,507.1,7.0,-77.5,1351.7,-222.5,,-74.4,-171.7,-132.0,-145.0,-44.4,False,False,,False,True,False,False,False,,False,False,False,False,False
Illinois,10040,9662.9,10165.0,9737.6,,10767.0,9124.0,9664.2,8966.7,8671.6,,9680.5,13910.2,9759.0,8573.5,9321.8,-377.1,125.0,-302.4,,727.0,-916.0,-375.8,-1073.3,-1368.4,,-359.5,3870.2,-281.0,-1466.5,-718.2,True,True,,False,False,True,False,False,,True,False,True,False,False
Indiana,4332,3937.6,4171.0,3891.3,,4245.2,3921.0,4065.6,4145.2,3516.5,,3877.2,5087.7,3902.0,3471.9,3795.2,-394.4,-161.0,-440.7,,-86.8,-411.0,-266.4,-186.8,-815.5,,-454.8,755.7,-430.0,-860.1,-536.8,True,False,,True,False,True,True,False,,False,False,False,False,False
