,actual_deaths,Baseline,IHME-CurveFit,STH-3PU,UCLA-SuEIR,error-Baseline,error-IHME-CurveFit,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-IHME-CurveFit,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,3246,3721.9,3511.6,,2885.1,475.9,265.6,,-360.9,True,,True
Alaska,98,53.7,33.9,,46.5,-44.3,-64.1,,-51.5,False,,False
Arizona,6300,9485.0,6478.5,,6099.4,3185.0,178.5,,-200.6,True,,True
Arkansas,2159,1652.6,1755.5,,1073.6,-506.4,-403.5,,-1085.4,True,,False
California,18253,23970.9,26129.2,,17106.4,5717.9,7876.2,,-1146.6,False,,True
Colorado,2525,2052.0,4425.5,,1981.7,-473.0,1900.5,,-543.3,False,,False
Connecticut,4737,4565.7,4764.4,,4553.9,-171.3,27.4,,-183.1,True,,False
Delaware,736,674.1,698.8,,676.8,-61.9,-37.2,,-59.2,True,,True
District of Columbia,658,660.3,601.6,,662.6,2.3,-56.4,,4.6,False,,False
Florida,17489,23456.6,17903.9,,13706.1,5967.6,414.9,,-3782.9,True,,True
Georgia,8956,9173.7,10728.9,,6750.3,217.7,1772.9,,-2205.7,False,,False
Hawaii,222,100.3,28.3,,98.1,-121.7,-193.7,,-123.9,False,,False
Idaho,759,791.3,788.2,,325.6,32.3,29.2,,-433.4,True,,False
Illinois,11088,9660.3,9402.0,,9553.4,-1427.7,-1686.0,,-1534.6,False,,False
Indiana,4888,3955.6,4182.8,,3488.3,-932.4,-705.2,,-1399.7,True,,False
Iowa,1985,1665.4,1722.9,,1240.0,-319.6,-262.1,,-745.0,True,,False
Kansas,1256,643.3,1929.3,,483.7,-612.7,673.3,,-772.3,False,,False
Kentucky,1658,1202.6,2332.0,,1000.6,-455.4,674.0,,-657.4,False,,False
Louisiana,6121,7810.4,7514.4,,5826.0,1689.4,1393.4,,-295.0,True,,True
Maine,163,152.7,151.5,,131.1,-10.3,-11.5,,-31.9,False,,False
Maryland,4293,4555.0,4713.3,,4108.4,262.0,420.3,,-184.6,False,,True
Massachusetts,10293,10079.1,9847.7,,9288.5,-213.9,-445.3,,-1004.5,False,,False
Michigan,8376,7378.1,7455.9,,7013.0,-997.9,-920.1,,-1363.0,True,,False
Minnesota,2930,2307.7,2192.6,,2151.8,-622.3,-737.4,,-778.2,False,,False
Mississippi,3540,4570.4,3326.6,,2944.6,1030.4,-213.4,,-595.4,True,,True
Missouri,3387,2137.7,4934.0,,2099.7,-1249.3,1547.0,,-1287.3,False,,False
Montana,514,269.0,230.5,,114.5,-245.0,-283.5,,-399.5,False,,False
Nebraska,779,525.1,639.3,,438.8,-253.9,-139.7,,-340.2,True,,False
Nevada,1908,2689.1,2961.7,,1693.2,781.1,1053.7,,-214.8,False,,True
New Hampshire,499,446.7,538.8,,488.0,-52.3,39.8,,-11.0,True,,True
New Jersey,16548,16400.6,16378.8,,16546.0,-147.4,-169.2,,-2.0,False,,True
New Mexico,1208,1114.6,1321.4,,849.7,-93.4,113.4,,-358.3,False,,False
New York,34010,33660.9,33657.0,,33193.7,-368.1,-372.0,,-835.3,False,,False
North Carolina,4756,5088.1,7146.9,,3843.2,332.1,2390.9,,-912.8,False,,False
North Dakota,726,209.0,191.2,,245.3,-517.0,-534.8,,-480.7,False,,True
Ohio,5714,5609.0,7494.5,,4258.9,-105.0,1780.5,,-1455.1,False,,False
Oklahoma,1516,1337.4,2216.1,,943.8,-178.6,700.1,,-572.2,False,,False
Oregon,759,771.7,2361.1,,444.0,12.7,1602.1,,-315.0,False,,False
Pennsylvania,9252,8530.4,8474.1,,8097.2,-721.6,-777.9,,-1154.8,False,,False
Rhode Island,1254,1111.0,1077.7,,1141.9,-132.0,-165.3,,-101.1,False,,True
South Carolina,4110,5550.7,3591.5,,3189.6,1440.7,-518.5,,-920.4,True,,True
South Dakota,621,298.4,226.9,,251.1,-322.6,-394.1,,-369.9,False,,False
Tennessee,3877,3301.6,2470.7,,2673.2,-575.4,-1406.3,,-1203.8,False,,False
Texas,19911,30995.9,25964.5,19169.0,14241.1,11089.9,6058.5,-737.0,-5664.9,True,True,True
Utah,710,682.4,923.5,,487.9,-27.6,213.5,,-222.1,False,,False
Vermont,59,71.9,60.6,,64.7,12.9,1.6,,5.7,True,,True
Virginia,3799,3822.6,5096.2,,2888.9,23.6,1297.2,,-910.1,False,,False
Washington,2519,2962.9,4115.0,,2224.1,443.9,1596.0,,-294.9,False,,True
West Virginia,574,443.9,215.6,,213.7,-130.1,-358.4,,-360.3,False,,False
Wisconsin,2739,1690.9,2689.7,,1291.1,-997.1,1.7,,-1396.9,True,,False
Wyoming,144,55.7,27.0,,49.6,-88.3,-117.0,,-94.4,False,,False
US,245664,265106.7,267623.6,240245.0,210296.0,19490.7,22007.6,-5371.0,-35320.0,False,True,False
