,count,mean,median,std,min,25%,75%,max
LNQ-ens1,51,198.2,146.5,230.9,2.8,38.2,242.0,1377.7
CU-select,51,215.6,150.0,259.3,3.0,57.5,275.0,1315.0
USC-SI_kJalpha,51,218.6,123.0,249.3,9.0,48.5,261.0,1154.0
UMass-MechBayes,51,224.4,121.0,321.6,2.0,58.5,281.5,2055.0
JCB-PRM,51,227.0,117.8,307.9,0.1,38.6,301.0,1606.8
JHU_CSSE-DECOM,51,237.0,119.0,321.5,0.0,32.0,304.5,1709.0
Karlen-pypm,51,241.1,133.7,284.3,8.1,40.1,365.2,1163.1
OliverWyman-Navigator,51,244.2,141.9,347.4,1.7,39.9,261.4,1815.9
Caltech-CS156,51,244.5,163.6,306.0,1.4,59.2,299.6,1646.2
SteveMcConnell-CovidComplete,51,247.1,98.0,373.2,1.0,38.0,270.5,1949.0
GT-DeepCOVID,44,259.9,157.3,313.1,2.0,43.2,371.1,1636.7
COVIDhub-ensemble,51,262.5,180.0,313.8,5.0,30.5,351.0,1676.0
BPagano-RtDriven,51,265.7,176.0,290.1,0.1,33.7,401.9,1029.7
JHU_IDD-CovidSP,51,277.5,199.6,339.4,4.9,81.6,323.2,1791.9
UA-EpiCovDA,51,278.6,163.0,352.1,2.0,48.5,359.5,1693.0
UCSD_NEU-DeepGLEAM,50,282.9,157.4,358.5,5.0,59.3,370.7,1694.4
Google_Harvard-CPF,51,297.4,115.1,456.6,4.1,38.7,300.5,2441.1
MOBS-GLEAM_COVID,50,298.8,167.5,369.7,4.8,52.9,392.5,1701.4
CMU-TimeSeries,51,299.5,170.0,388.2,9.0,48.0,349.5,1919.0
LANL-GrowthRate,51,308.6,185.5,349.9,3.0,85.5,398.5,1632.0
MSRA-DeepST,50,334.9,221.2,390.1,1.1,61.6,462.7,1745.9
JHUAPL-Bucky,51,347.4,211.9,444.2,4.1,69.1,413.5,2570.5
epiforecasts-ensemble1,48,390.2,266.0,444.6,5.0,68.0,513.0,1931.0
IowaStateLW-STEM,49,391.0,203.0,480.2,9.0,70.5,520.5,2101.0
RobertWalraven-ESG,50,415.6,263.8,479.0,1.3,97.5,499.9,2361.1
UCSB-ACTS,51,424.8,254.0,558.2,3.7,67.7,491.0,2430.0
UT-Mobility,51,425.3,258.0,458.4,6.5,110.2,520.0,1972.5
MIT_CritData-GBCF,51,426.3,236.0,549.7,1.0,53.0,564.5,2326.0
COVIDhub-baseline,51,426.8,281.8,458.1,2.4,116.6,567.6,2114.7
Baseline,51,427.1,283.7,447.3,9.6,109.9,563.2,1981.7
CEID-Walk,51,427.2,281.6,456.7,9.3,110.7,571.8,2076.5
UMich-RidgeTfReg,50,439.1,279.2,521.1,1.9,104.0,500.6,2233.2
DDS-NBDS,51,463.3,285.5,529.1,3.2,114.1,573.4,2263.6
CovidAnalytics-DELPHI,51,488.0,288.0,581.5,2.0,104.0,538.5,2791.0
NotreDame-mobility,51,515.6,295.8,641.9,4.8,160.9,621.7,3311.3
PSI-DRAFT,51,528.0,299.0,595.3,4.0,82.5,728.5,2339.0
UCLA-SuEIR,51,567.8,434.4,628.2,28.3,143.0,718.3,3473.7
Columbia_UNC-SurvCon,50,672.7,278.0,989.4,6.0,109.5,792.0,4731.0
TTU-squider,51,723.4,314.2,1024.3,12.7,141.7,765.1,4731.5
WalmartLabsML-LogForecasting,51,770.3,548.0,751.2,29.9,283.9,1082.7,3345.8
USACE-ERDC_SEIR,51,1064.7,290.8,1705.6,3.6,108.9,832.4,6603.8
