,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,4685,4635.0,4677.5,4589.6,4696.2,4601.0,4676.0,4676.0,4695.0,4678.3,4698.0,4469.9,4709.0,4683.0,4625.1,4619.4,4693.8,,4873.4,4654.0,4772.9,4676.8,4646.0,4684.7,4783.2,4635.0,4663.3,4723.0,4730.5,4690.3,4731.6,4680.0,,4593.1,4647.8,4717.0,4884.5,4618.0,4675.6,,4652.0,4739.4,4700.7,4635.0,4633.5,4740.0,4593.0,4600.2,4498.3,4654.4,-50.0,-7.5,-95.4,11.2,-84.0,-9.0,-9.0,10.0,-6.7,13.0,-215.1,24.0,-2.0,-59.9,-65.6,8.8,,188.4,-31.0,87.9,-8.2,-39.0,-0.3,98.2,-50.0,-21.7,38.0,45.5,5.3,46.6,-5.0,,-91.9,-37.2,32.0,199.5,-67.0,-9.4,,-33.0,54.4,15.7,-50.0,-51.5,55.0,-92.0,-84.8,-186.7,-30.6,True,False,True,False,True,True,True,True,True,False,True,True,False,False,True,,False,True,False,True,True,True,False,False,True,True,True,True,True,True,,False,True,True,False,False,True,,True,False,True,False,False,False,False,False,False,True
Alaska,200,190.9,189.7,223.6,195.5,208.0,192.0,204.0,210.0,200.5,213.0,204.2,204.0,198.1,197.7,194.8,210.1,,220.6,,198.9,208.2,217.0,224.8,209.3,196.0,197.5,249.0,194.4,209.2,197.0,209.0,,,195.0,203.0,210.7,205.0,192.6,,212.3,200.6,208.4,199.0,195.4,200.0,197.0,237.6,193.4,204.1,-9.1,-10.3,23.6,-4.5,8.0,-8.0,4.0,10.0,0.5,13.0,4.2,4.0,-1.9,-2.3,-5.2,10.1,,20.6,,-1.1,8.2,17.0,24.8,9.3,-4.0,-2.5,49.0,-5.6,9.2,-3.0,9.0,,,-5.0,3.0,10.7,5.0,-7.4,,12.3,0.6,8.4,-1.0,-4.6,0.0,-3.0,37.6,-6.6,4.1,False,False,True,True,True,True,False,True,False,True,True,True,True,True,False,,False,,True,True,False,False,False,True,True,False,True,False,True,True,,,True,True,False,True,True,,False,True,True,True,True,True,True,False,True,True
Arizona,8424,8497.3,8593.4,8664.7,8558.0,8516.0,8552.0,8528.0,8452.0,8499.2,8501.0,7838.0,8421.0,8569.5,8602.2,8719.0,8486.5,,8231.8,8581.0,8542.1,8336.8,8498.0,8646.4,8529.6,8785.0,8510.6,8600.0,8502.1,8625.8,8552.6,8462.0,,8313.0,8641.8,8612.0,9195.0,8546.0,8563.7,,8311.9,8528.0,8569.1,8446.0,8616.2,8633.0,8606.5,8253.5,8062.1,8488.6,73.3,169.4,240.7,134.0,92.0,128.0,104.0,28.0,75.2,77.0,-586.0,-3.0,145.5,178.2,295.0,62.5,,-192.2,157.0,118.1,-87.2,74.0,222.4,105.6,361.0,86.6,176.0,78.1,201.8,128.6,38.0,,-111.0,217.8,188.0,771.0,122.0,139.7,,-112.1,104.0,145.1,22.0,192.2,209.0,182.5,-170.5,-361.9,64.6,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,False,False,,False,False,False,True,False,False,False,False,False,True
Arkansas,3441,3487.3,3428.3,3558.0,3469.0,3440.0,3471.0,3474.0,3362.0,3450.4,3498.0,3180.7,3415.0,3473.3,3427.8,3478.8,3465.3,,3121.9,3498.0,3486.6,3465.9,3464.0,3447.9,3487.5,3552.0,3504.5,3448.0,3461.0,3537.7,3491.3,3453.0,,3474.3,3490.7,3454.0,3456.2,3480.0,3456.8,,3347.0,3473.6,3448.9,3489.0,3470.3,3493.0,3533.0,3659.5,3303.6,3335.9,46.3,-12.7,117.0,28.0,-1.0,30.0,33.0,-79.0,9.4,57.0,-260.3,-26.0,32.3,-13.2,37.8,24.3,,-319.1,57.0,45.6,24.9,23.0,6.9,46.5,111.0,63.5,7.0,20.0,96.7,50.3,12.0,,33.3,49.7,13.0,15.2,39.0,15.8,,-94.0,32.6,7.9,48.0,29.3,52.0,92.0,218.5,-137.4,-105.1,True,False,True,True,True,True,False,True,False,False,True,True,True,True,True,,False,False,True,True,True,True,False,False,False,True,True,False,False,True,,True,False,True,True,True,True,,False,True,True,False,True,False,False,False,False,False
California,24225,24076.4,24340.6,24609.2,24251.8,24214.0,24206.0,24436.0,24175.0,24374.5,24960.0,22812.6,24436.0,24106.0,24466.2,24526.1,24517.2,,24037.7,24308.0,24514.1,25642.8,23945.0,24833.1,24517.2,24940.0,24644.8,24413.0,24206.1,24468.3,24590.5,23550.0,,23615.1,24244.4,24717.0,27084.5,24085.0,24252.0,24741.0,24127.8,24253.2,24611.3,24302.0,24586.2,24522.0,24541.5,,22973.9,24139.2,-146.6,117.6,386.2,28.8,-9.0,-17.0,213.0,-48.0,151.5,737.0,-1410.4,213.0,-117.0,243.2,303.1,294.2,,-185.3,85.0,291.1,1419.8,-278.0,610.1,294.2,717.0,421.8,190.0,-16.9,245.3,367.5,-673.0,,-607.9,21.4,494.0,2861.5,-138.0,29.0,518.0,-95.2,30.2,388.3,79.0,363.2,299.0,318.5,,-1249.1,-83.8,True,False,True,True,True,False,True,False,False,False,False,True,False,False,False,,False,True,False,False,False,False,False,False,False,False,True,False,False,False,,False,True,False,False,True,True,False,True,True,False,True,False,False,False,,False,True
Colorado,4592,4719.4,4709.3,4892.4,4786.0,4751.0,4807.0,4766.0,4606.0,4747.2,4821.0,4513.6,4671.0,4790.6,4664.2,5144.4,4799.7,,4589.0,4878.0,4778.1,4570.1,4905.0,4771.7,4746.6,4747.0,4776.4,4856.0,4795.7,4862.6,4734.3,4910.0,,4715.5,4783.3,4700.0,4311.3,4675.0,4756.0,,4746.8,4805.0,4733.6,4644.0,4847.8,4782.0,4832.0,5138.3,4434.9,4261.5,127.4,117.3,300.4,194.0,159.0,215.0,174.0,14.0,155.2,229.0,-78.4,79.0,198.6,72.2,552.4,207.7,,-3.0,286.0,186.1,-21.9,313.0,179.7,154.6,155.0,184.4,264.0,203.7,270.6,142.3,318.0,,123.5,191.3,108.0,-280.7,83.0,164.0,,154.8,213.0,141.6,52.0,255.8,190.0,240.0,546.3,-157.1,-330.5,True,False,False,False,False,False,True,False,False,True,True,False,True,False,False,,True,False,False,True,False,False,False,False,False,False,False,False,False,False,,True,False,True,False,True,False,,False,False,False,True,False,False,False,False,False,False
Connecticut,5791,5767.9,5773.7,5798.8,5797.7,5800.0,5799.0,5823.0,5811.0,5806.3,5866.0,5744.2,5763.0,5829.0,5790.3,5826.1,5853.6,,5861.1,5881.0,5851.5,5904.1,5830.0,5878.0,5834.1,5804.0,5767.1,5864.0,5854.4,5843.0,5784.4,5832.0,,5774.0,5718.4,5848.0,5769.1,5667.0,5770.6,,5785.2,5860.7,5790.0,5782.0,5833.3,5846.0,5767.5,5879.4,5608.0,5760.8,-23.1,-17.3,7.8,6.7,9.0,8.0,32.0,20.0,15.3,75.0,-46.8,-28.0,38.0,-0.7,35.1,62.6,,70.1,90.0,60.5,113.1,39.0,87.0,43.1,13.0,-23.9,73.0,63.4,52.0,-6.6,41.0,,-17.0,-72.6,57.0,-21.9,-124.0,-20.4,,-5.8,69.7,-1.0,-9.0,42.3,55.0,-23.5,88.4,-183.0,-30.2,True,True,True,True,True,False,True,True,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,True,False,,True,False,False,True,False,True,,True,False,True,True,False,False,False,False,False,False
Delaware,895,901.4,895.1,912.3,902.0,905.0,901.0,900.0,902.0,897.7,898.0,848.1,899.0,904.0,892.9,954.2,904.7,,875.8,920.0,896.3,887.3,901.0,925.5,906.6,891.0,895.3,908.0,901.3,907.4,900.3,883.0,,,900.3,905.0,957.6,900.0,901.3,,897.0,912.8,907.7,899.0,881.1,908.0,900.0,875.2,869.0,897.9,6.4,0.1,17.3,7.0,10.0,6.0,5.0,7.0,2.7,3.0,-46.9,4.0,9.0,-2.1,59.2,9.7,,-19.2,25.0,1.3,-7.7,6.0,30.5,11.6,-4.0,0.3,13.0,6.3,12.4,5.3,-12.0,,,5.3,10.0,62.6,5.0,6.3,,2.0,17.8,12.7,4.0,-13.9,13.0,5.0,-19.8,-26.0,2.9,True,False,False,False,True,True,False,True,True,False,True,False,True,False,False,,False,False,True,False,True,False,False,True,True,False,True,False,True,False,,,True,False,False,True,True,,True,False,False,True,False,False,True,False,False,True
District of Columbia,762,755.9,766.0,752.5,747.3,749.0,747.0,751.0,758.0,749.2,752.0,742.5,749.0,763.2,751.9,746.1,756.3,,746.5,746.0,751.3,750.3,749.0,767.9,753.8,754.0,754.0,758.0,,,752.9,742.0,,,751.0,753.0,770.4,759.0,745.0,,755.7,,747.7,755.0,,750.0,762.0,750.3,735.0,764.1,-6.1,4.0,-9.5,-14.7,-13.0,-15.0,-11.0,-4.0,-12.8,-10.0,-19.5,-13.0,1.2,-10.1,-15.9,-5.7,,-15.5,-16.0,-10.7,-11.7,-13.0,5.9,-8.2,-8.0,-8.0,-4.0,,,-9.1,-20.0,,,-11.0,-9.0,8.4,-3.0,-17.0,,-6.3,,-14.3,-7.0,,-12.0,0.0,-11.7,-27.0,2.1,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,,False,False,False,False,False,True,False,False,False,True,,,False,False,,,False,False,False,True,False,,False,,False,False,,False,True,False,False,True
Florida,21135,21169.7,21118.7,21201.6,21156.1,21168.0,21161.0,21265.0,21138.0,21236.9,21343.0,20957.8,21116.0,21460.9,21186.4,21063.9,21367.6,,21435.0,21212.0,21276.3,21329.4,21351.0,22186.6,21308.9,21199.0,21298.5,21367.0,21346.1,21303.1,21237.5,21634.0,,21204.5,21076.9,21291.0,22698.9,21298.0,21131.7,,21086.6,21349.7,21289.9,21257.0,21026.8,21204.0,21363.5,,20839.7,21170.3,34.7,-16.3,66.6,21.1,33.0,26.0,130.0,3.0,101.9,208.0,-177.2,-19.0,325.9,51.4,-71.1,232.6,,300.0,77.0,141.3,194.4,216.0,1051.6,173.9,64.0,163.5,232.0,211.1,168.1,102.5,499.0,,69.5,-58.1,156.0,1563.9,163.0,-3.3,,-48.4,214.7,154.9,122.0,-108.2,69.0,228.5,,-295.3,35.3,True,False,True,True,True,False,True,False,False,False,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,True,,False,False,False,False,False,False,False,,False,False
