,count,mean,median,std,min,25%,75%,max
LNQ-ens1,51,113380.7,11451.3,238855.1,1.1,837.4,105913.9,1007815.4
GT-DeepCOVID,50,157200.4,11658.6,487822.9,0.0,2058.1,64420.1,2542373.8
UA-EpiCovDA,51,159534.2,8281.0,395623.1,4.0,2162.5,97034.5,1768900.0
Baseline,51,162362.3,9188.6,357435.5,27.9,1578.2,109970.7,1759791.8
UCSD_NEU-DeepGLEAM,50,163298.9,16587.0,444925.6,0.8,4313.7,85938.6,2918697.2
MOBS-GLEAM_COVID,50,165982.0,15964.9,511412.8,0.6,2159.0,92682.9,3439000.3
RobertWalraven-ESG,51,174252.4,22940.1,407051.4,0.0,1005.1,137179.1,2270657.2
OliverWyman-Navigator,51,176133.8,22268.7,256262.8,7.4,2535.4,321992.6,949632.7
Karlen-pypm,51,177631.6,7191.0,724688.6,54.8,978.1,55889.0,5033292.2
Google_Harvard-CPF,51,178596.5,16473.6,409701.6,1.5,1805.7,117403.3,1803666.0
UMass-MechBayes,51,183734.5,7921.0,691371.5,1.0,841.0,36625.0,4700224.0
COVIDhub-ensemble,51,207184.6,7396.0,614793.7,0.0,1369.0,48662.5,3481956.0
COVIDhub-baseline,51,209963.1,17650.9,460501.2,4.0,1937.0,123500.4,2250278.1
UT-Mobility,51,225731.4,20306.2,572462.7,1.0,1073.1,130722.2,3011960.2
CEID-Walk,51,227631.1,15317.5,473675.5,2.5,1935.6,142761.1,1699258.2
epiforecasts-ensemble1,51,235737.2,8836.0,670122.6,16.0,1445.0,96109.0,3869089.0
MIT_CritData-GBCF,51,258145.5,10201.0,927808.1,4.0,1853.0,62516.0,6022116.0
LANL-GrowthRate,51,261059.4,15129.0,546704.2,16.0,1850.0,211205.0,2292196.0
UCLA-SuEIR,51,262014.0,17050.0,961798.7,0.3,1651.5,121456.0,6655407.5
USC-SI_kJalpha,51,263364.4,9801.0,727146.8,25.0,756.5,118692.5,4330561.0
CMU-TimeSeries,51,265487.2,21609.0,692095.0,9.0,1334.5,59085.0,2927521.0
Microsoft-DeepSTIA,50,317297.6,6106.4,1318514.5,0.5,1900.2,57556.0,9048396.8
AIpert-pwllnod,51,327816.5,27465.6,912422.1,23.3,3711.4,153530.3,5501729.8
IowaStateLW-STEM,49,335459.8,19044.0,856792.6,9.0,2562.5,144521.0,4418404.0
SteveMcConnell-CovidComplete,51,357379.1,7396.0,1609009.1,1.0,676.0,46962.5,11303044.0
JHU_CSSE-DECOM,50,372309.6,12544.0,1247935.5,0.0,932.5,102500.5,6911006.1
JHU_IDD-CovidSP,51,382240.8,22557.8,1079101.7,1.6,1640.5,108133.0,5860687.0
UCSB-ACTS,51,468773.3,53951.5,1033425.9,6.4,9638.1,369631.8,5776214.9
Caltech-CS156,51,472839.9,16212.1,1604800.7,20.0,2142.6,63509.9,9046895.0
DDS-NBDS,51,525902.8,54508.4,1196095.9,0.2,1672.7,283897.2,5638501.0
UMich-RidgeTfReg,50,599878.2,40487.8,1489048.4,2.4,4090.2,252269.6,9216404.4
TTU-squider,51,723806.6,44974.5,1461177.6,47.8,8704.1,823273.0,7733955.4
PSI-DRAFT,51,898485.8,21756.2,2358704.7,4.0,3253.0,200640.6,9878449.0
BPagano-RtDriven,51,904789.7,17914.8,3827407.3,0.0,3494.9,287546.9,26682679.5
Covid19Sim-Simulator,51,909925.3,55649.3,2960558.1,0.7,2495.5,302955.0,16690176.5
CU-select,51,1034569.5,37249.0,4233037.1,9.0,8586.5,276680.0,29833444.0
CovidAnalytics-DELPHI,51,1699091.1,40401.0,7367821.0,36.0,1681.0,230333.0,49561600.0
JHUAPL-Bucky,51,1727370.7,90559.6,8587161.5,16.4,3733.9,316882.3,61191623.6
MITCovAlliance-SIR,51,1879310.1,47438.3,9115830.8,1.7,2763.2,220339.0,64042855.2
WalmartLabsML-LogForecasting,51,2842490.1,259374.8,10779995.6,27.8,7765.0,645409.3,74467165.3
