,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,9242,4879.9,6574.8,5691.0,4455.9,-4362.1,-2667.2,-3551.0,-4786.1,True,True,False
Alaska,282,316.4,533.2,,443.8,34.4,251.2,,161.8,False,,False
Arizona,14948,8479.7,13158.8,8562.0,7977.6,-6468.3,-1789.2,-6386.0,-6970.4,True,True,False
Arkansas,5252,3696.9,4954.3,4344.0,4330.4,-1555.1,-297.7,-908.0,-921.6,True,True,True
California,46874,23765.3,31137.4,24268.0,24461.6,-23107.7,-15735.6,-22605.0,-22411.4,True,True,True
Colorado,5814,5141.9,8763.1,5595.0,4687.7,-672.1,2949.1,-219.0,-1126.3,False,True,False
Connecticut,7381,6405.0,7602.5,6245.0,5447.2,-976.0,221.5,-1136.0,-1933.8,True,False,False
Delaware,1356,1008.9,1223.6,977.0,1001.0,-300.1,-85.4,-332.0,-308.0,True,False,False
District of Columbia,979,788.6,880.7,807.0,705.0,-190.4,-98.3,-172.0,-274.0,True,True,False
Florida,28683,24026.3,24714.9,22592.0,24445.3,-4656.7,-3968.1,-6091.0,-4237.7,True,False,True
Georgia,15850,12091.1,14321.1,12246.0,12225.2,-3758.9,-1528.9,-3604.0,-3624.8,True,True,True
Hawaii,424,363.4,332.2,,297.3,-60.6,-91.8,,-126.7,False,,False
Idaho,1803,1690.9,2404.4,1857.0,1404.9,-112.1,601.4,54.0,-398.1,False,True,False
Illinois,22087,21915.1,26788.8,21410.0,23035.8,-171.9,4701.8,-677.0,948.8,False,False,False
Indiana,12149,9810.7,13918.4,10368.0,10213.5,-1672.3,2435.4,-1115.0,-1269.5,False,True,True
Iowa,5236,4537.9,5555.7,4735.0,4429.2,-698.1,319.7,-501.0,-806.8,True,True,False
Kansas,4329,2821.0,4342.9,3184.0,3720.2,-1508.0,13.9,-1145.0,-608.8,True,True,True
Kentucky,4272,3079.4,4128.1,3586.0,3443.6,-1192.6,-143.9,-686.0,-828.4,True,True,True
Louisiana,9276,8003.0,11250.5,7828.0,8477.5,-1273.0,1974.5,-1448.0,-798.5,False,False,True
