,actual_deaths,Baseline,YYG-ParamSearch,IHME-CurveFIt,error-Baseline,error-YYG,error-IHME,beat_baseline-YYG,beat_baseline-IHME
Algeria,1605,1632.3,1642.9,1689.6,27.3,37.9,84.6,False,False
Argentina,11263,9934.3,10064.1,10480.4,-1328.7,-1198.9,-782.6,True,True
Australia,810,837.6,822.1,1086.9,27.6,12.1,276.9,True,False
Austria,754,755.0,754.6,738.5,1.0,0.6,-15.5,True,False
Bangladesh,4702,4652.1,4467.4,5139.5,-49.9,-234.6,437.5,False,False
Belarus,744,698.7,692.3,737.0,-45.3,-51.7,-7.0,False,True
Belgium,9923,10197.4,10185.9,10244.5,274.4,262.9,321.5,True,False
Bolivia,7297,5670.3,5494.0,6677.6,-1626.7,-1803.0,-619.4,False,True
Brazil,131210,134092.1,133935.8,150018.3,2882.1,2725.8,18808.3,True,False
Bulgaria,717,694.7,675.0,767.3,-22.3,-42.0,50.3,False,False
Canada,9220,9251.4,9213.9,9158.8,31.4,-6.1,-61.2,True,False
Chile,11895,11898.4,11727.7,12884.7,3.4,-167.3,989.7,False,False
Colombia,22734,23794.9,22901.2,25743.7,1060.9,167.2,3009.7,True,False
Croatia,218,200.7,204.9,203.2,-17.3,-13.1,-14.8,True,True
Cuba,108,88.0,100.0,87.3,-20.0,-8.0,-20.7,True,False
Cyprus,22,23.9,23.1,19.3,1.9,1.1,-2.7,True,False
Czechia,453,424.0,435.1,468.2,-29.0,-17.9,15.2,True,True
Denmark,630,636.4,645.7,642.0,6.4,15.7,12.0,False,False
Dominican Republic,1953,2008.4,1934.1,2103.1,55.4,-18.9,150.1,True,False
Ecuador,10864,6640.9,6714.7,20345.7,-4223.1,-4149.3,9481.7,True,False
Egypt,5627,5742.4,5580.3,5794.1,115.4,-46.7,167.1,True,False
Estonia,64,63.0,65.5,63.2,-1.0,1.5,-0.8,False,True
Finland,337,340.7,343.3,328.2,3.7,6.3,-8.8,False,False
France,30902,30730.1,30812.1,31669.5,-171.9,-89.9,767.5,True,False
Germany,9352,9362.3,9472.7,9373.9,10.3,120.7,21.9,False,False
Greece,302,289.7,293.3,221.8,-12.3,-8.7,-80.2,True,False
Honduras,2065,1883.6,2035.3,3427.2,-181.4,-29.7,1362.2,True,False
Hungary,633,631.1,631.8,595.4,-1.9,-1.2,-37.6,True,False
Iceland,10,10.0,10.7,10.5,0.0,0.7,0.5,False,False
Indonesia,8650,7797.0,7933.1,7906.7,-853.0,-716.9,-743.3,True,True
Iran,23029,24313.9,23608.5,27165.9,1284.9,579.5,4136.9,True,False
Ireland,1783,1781.7,1800.2,1869.3,-1.3,17.2,86.3,False,False
Israel,1103,1012.9,975.2,1130.1,-90.1,-127.8,27.1,False,True
Italy,35603,36132.7,35672.8,35917.8,529.7,69.8,314.8,True,True
Japan,1441,1319.0,1332.1,1050.0,-122.0,-108.9,-391.0,True,False
Kuwait,558,589.7,598.8,702.1,31.7,40.8,144.1,False,False
Latvia,35,32.0,33.9,32.2,-3.0,-1.1,-2.8,True,True
Lithuania,86,81.0,84.8,78.9,-5.0,-1.2,-7.1,True,False
Luxembourg,124,134.6,138.2,129.8,10.6,14.2,5.8,False,True
Malaysia,128,125.0,130.5,126.3,-3.0,2.5,-1.7,True,True
Malta,15,9.0,9.8,9.3,-6.0,-5.2,-5.7,True,True
Mexico,70604,73956.0,73719.8,72373.2,3352.0,3115.8,1769.2,True,True
Moldova,1117,1092.7,1084.5,1170.5,-24.3,-32.5,53.5,False,False
Morocco,1553,1275.1,1483.8,2787.0,-277.9,-69.2,1234.0,True,False
Netherlands,6291,6255.7,6303.8,6327.2,-35.3,12.8,36.2,True,False
Nigeria,1078,1090.7,1116.1,1068.9,12.7,38.1,-9.1,False,True
Norway,265,280.3,276.2,255.4,15.3,11.2,-9.6,True,True
Pakistan,6379,6533.7,6636.7,6614.6,154.7,257.7,235.6,False,False
Panama,2155,2260.7,2252.6,2460.5,105.7,97.6,305.5,True,False
Peru,30470,45372.3,32206.5,41115.8,14902.3,1736.5,10645.8,True,True
Philippines,4292,4188.6,4271.6,4442.2,-103.4,-20.4,150.2,True,False
Poland,2182,2147.0,2197.5,2248.0,-35.0,15.5,66.0,True,False
Portugal,1860,1862.9,1869.2,1848.0,2.9,9.2,-12.0,False,False
Romania,4127,4113.4,4218.9,4006.5,-13.6,91.9,-120.5,False,False
Russia,18426,18545.9,18394.1,18670.7,119.9,-31.9,244.7,True,False
Saudi Arabia,4240,4337.6,4143.1,3775.6,97.6,-96.9,-464.4,True,False
Serbia,731,801.3,811.5,809.7,70.3,80.5,78.7,False,False
Slovakia,38,31.0,34.3,29.0,-7.0,-3.7,-9.0,True,False
Slovenia,135,136.7,138.4,140.1,1.7,3.4,5.1,False,False
South Africa,15427,17358.6,16782.2,19979.9,1931.6,1355.2,4552.9,True,False
South Korea,358,305.0,318.0,307.3,-53.0,-40.0,-50.7,True,True
Spain,29747,29056.7,29132.5,29042.0,-690.3,-614.5,-705.0,True,False
Sweden,5846,5860.1,5874.3,6045.8,14.1,28.3,199.8,False,False
Switzerland,2020,2010.3,2030.6,2023.9,-9.7,10.6,3.9,False,True
Turkey,6999,6475.4,6500.2,6383.9,-523.6,-498.8,-615.1,True,False
Ukraine,3206,2775.0,2924.8,2647.6,-431.0,-281.2,-558.4,True,False
United Arab Emirates,399,391.0,393.0,382.7,-8.0,-6.0,-16.3,True,False
United Kingdom,41712,47300.1,47487.5,48965.1,5588.1,5775.5,7253.1,False,False
