,2020-04-20_2020-05-30,2020-04-27_2020-06-06,2020-05-04_2020-06-13,2020-05-11_2020-06-20,2020-05-18_2020-06-27,2020-05-25_2020-07-04,2020-06-01_2020-07-11,2020-06-08_2020-07-18,2020-06-15_2020-07-25,2020-06-22_2020-08-01,2020-06-29_2020-08-08,2020-07-06_2020-08-15,2020-07-13_2020-08-22,2020-07-20_2020-08-29,2020-07-27_2020-09-05,2020-08-03_2020-09-12,2020-08-10_2020-09-19,2020-08-17_2020-09-26
num_states,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-Auquan-SEIR,,,,,,,,,,,,51,,,,,,51
num_states_with_projections-Baseline,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-CU-select,50,50,50,50,,,,,,,,,,,,,,
num_states_with_projections-Columbia_UNC-SurvCon,,,,,,,,,,,,0,0,0,0,0,0,0
num_states_with_projections-Covid19Sim-Simulator,,,,,,51,51,51,51,51,51,51,51,51,51,51,,17
num_states_with_projections-CovidActNow-SEIR_CAN,,,,,,,,,,,,51,,,,,,
num_states_with_projections-CovidAnalytics-DELPHI,,51,51,,,,,,,,,51,51,51,51,51,51,51
num_states_with_projections-IHME-CurveFit,51,49,51,51,51,,51,51,51,51,51,51,,51,51,51,51,
num_states_with_projections-IowaStateLW-STEM,,49,49,,49,49,49,49,49,49,49,49,49,49,49,49,,49
num_states_with_projections-LANL-GrowthRate,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-MITCovAlliance-SIR,,,,,,,,,,,,51,51,51,51,51,,51
num_states_with_projections-NotreDame-FRED,,,7,,,7,7,7,7,7,7,7,7,7,7,7,7,7
num_states_with_projections-NotreDame-mobility,,,,,,,,,,51,51,51,51,51,51,51,51,51
num_states_with_projections-PSI-DRAFT,,,,,51,51,51,51,51,51,51,51,51,50,51,51,51,51
num_states_with_projections-QJHong-Encounter,,,,,,,,,,,,,0,,0,0,0,0
num_states_with_projections-Quantori-Multiagents,,,,1,,,,,,,,,,,,,,
num_states_with_projections-RobertWalraven-ESG,,,,,,,,,,,,,,,,,,50
num_states_with_projections-STH-3PU,,,,,,,,,1,1,1,1,1,1,1,1,1,1
num_states_with_projections-SWC-TerminusCM,,,,,,40,47,48,51,,48,,,,,,,
num_states_with_projections-UCLA-SuEIR,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-USACE-ERDC_SEIR,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-USC-SI_kJalpha,,,,,,,,,,,51,51,51,51,51,51,51,51
num_states_with_projections-UT-Mobility,51,51,51,,,,,,,,,,,,,,,
num_states_with_projections-YYG-ParamSearch,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_beat_baseline-Auquan-SEIR,,,,,,,,,,,,21,,,,,,22
num_states_beat_baseline-CU-select,16,20,20,19,,,,,,,,,,,,,,
num_states_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-Covid19Sim-Simulator,,,,,,32,29,26,31,34,35,38,37,30,29,30,,9
num_states_beat_baseline-CovidActNow-SEIR_CAN,,,,,,,,,,,,16,,,,,,
num_states_beat_baseline-CovidAnalytics-DELPHI,,23,23,,,,,,,,,31,28,29,27,28,24,22
num_states_beat_baseline-IHME-CurveFit,14,16,24,23,23,,29,29,32,34,30,32,,18,17,25,19,
num_states_beat_baseline-IowaStateLW-STEM,,21,22,,24,26,25,23,27,20,21,28,28,16,18,22,,22
num_states_beat_baseline-LANL-GrowthRate,18,22,27,28,29,35,37,35,34,34,33,32,23,14,16,22,10,16
num_states_beat_baseline-MITCovAlliance-SIR,,,,,,,,,,,,20,12,23,17,22,,10
num_states_beat_baseline-NotreDame-FRED,,,2,,,1,2,2,0,0,0,1,1,1,3,2,1,0
num_states_beat_baseline-NotreDame-mobility,,,,,,,,,,35,18,17,23,18,18,15,11,16
num_states_beat_baseline-PSI-DRAFT,,,,,19,26,31,19,19,15,18,17,13,8,12,10,9,15
num_states_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-Quantori-Multiagents,,,,1,,,,,,,,,,,,,,
num_states_beat_baseline-RobertWalraven-ESG,,,,,,,,,,,,,,,,,,11
num_states_beat_baseline-STH-3PU,,,,,,,,,1,1,1,1,1,1,0,1,1,1
num_states_beat_baseline-SWC-TerminusCM,,,,,,13,17,19,21,,16,,,,,,,
num_states_beat_baseline-UCLA-SuEIR,,,24,29,28,33,36,28,26,24,22,24,27,22,17,30,20,19
num_states_beat_baseline-USACE-ERDC_SEIR,,,,,24,29,27,30,30,32,27,35,32,7,18,17,18,22
num_states_beat_baseline-USC-SI_kJalpha,,,,,,,,,,,32,28,22,27,22,24,18,23
num_states_beat_baseline-UT-Mobility,13,14,17,,,,,,,,,,,,,,,
num_states_beat_baseline-YYG-ParamSearch,16,21,32,28,20,24,30,32,30,36,34,35,39,32,30,24,26,29
perc_beat_baseline-Auquan-SEIR,,,,,,,,,,,,0.4117647059,,,,,,0.431372549
perc_beat_baseline-CU-select,0.32,0.4,0.4,0.38,,,,,,,,,,,,,,
perc_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,,
perc_beat_baseline-Covid19Sim-Simulator,,,,,,0.6274509804,0.568627451,0.5098039216,0.6078431373,0.6666666667,0.6862745098,0.7450980392,0.7254901961,0.5882352941,0.568627451,0.5882352941,,0.5294117647
perc_beat_baseline-CovidActNow-SEIR_CAN,,,,,,,,,,,,0.3137254902,,,,,,
perc_beat_baseline-CovidAnalytics-DELPHI,,0.4509803922,0.4509803922,,,,,,,,,0.6078431373,0.5490196078,0.568627451,0.5294117647,0.5490196078,0.4705882353,0.431372549
perc_beat_baseline-IHME-CurveFit,0.2745098039,0.3265306122,0.4705882353,0.4509803922,0.4509803922,,0.568627451,0.568627451,0.6274509804,0.6666666667,0.5882352941,0.6274509804,,0.3529411765,0.3333333333,0.4901960784,0.3725490196,
perc_beat_baseline-IowaStateLW-STEM,,0.4285714286,0.4489795918,,0.4897959184,0.5306122449,0.5102040816,0.4693877551,0.5510204082,0.4081632653,0.4285714286,0.5714285714,0.5714285714,0.3265306122,0.3673469388,0.4489795918,,0.4489795918
perc_beat_baseline-LANL-GrowthRate,0.3529411765,0.431372549,0.5294117647,0.5490196078,0.568627451,0.6862745098,0.7254901961,0.6862745098,0.6666666667,0.6666666667,0.6470588235,0.6274509804,0.4509803922,0.2745098039,0.3137254902,0.431372549,0.1960784314,0.3137254902
perc_beat_baseline-MITCovAlliance-SIR,,,,,,,,,,,,0.3921568627,0.2352941176,0.4509803922,0.3333333333,0.431372549,,0.1960784314
perc_beat_baseline-NotreDame-FRED,,,0.2857142857,,,0.1428571429,0.2857142857,0.2857142857,0,0,0,0.1428571429,0.1428571429,0.1428571429,0.4285714286,0.2857142857,0.1428571429,0
perc_beat_baseline-NotreDame-mobility,,,,,,,,,,0.6862745098,0.3529411765,0.3333333333,0.4509803922,0.3529411765,0.3529411765,0.2941176471,0.2156862745,0.3137254902
perc_beat_baseline-PSI-DRAFT,,,,,0.3725490196,0.5098039216,0.6078431373,0.3725490196,0.3725490196,0.2941176471,0.3529411765,0.3333333333,0.2549019608,0.16,0.2352941176,0.1960784314,0.1764705882,0.2941176471
perc_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,,,,,,
perc_beat_baseline-Quantori-Multiagents,,,,1,,,,,,,,,,,,,,
perc_beat_baseline-RobertWalraven-ESG,,,,,,,,,,,,,,,,,,0.22
perc_beat_baseline-STH-3PU,,,,,,,,,1,1,1,1,1,1,0,1,1,1
perc_beat_baseline-SWC-TerminusCM,,,,,,0.325,0.3617021277,0.3958333333,0.4117647059,,0.3333333333,,,,,,,
