,perc_error_2020-04-20_2020-05-30,perc_error_2020-04-27_2020-06-06,perc_error_2020-05-04_2020-06-13,perc_error_2020-05-11_2020-06-20,perc_error_2020-05-18_2020-06-27,perc_error_2020-05-25_2020-07-04,perc_error_2020-06-01_2020-07-11,perc_error_2020-06-08_2020-07-18,perc_error_2020-06-15_2020-07-25,perc_error_2020-06-22_2020-08-01,perc_error_2020-06-29_2020-08-08,perc_error_2020-07-06_2020-08-15,perc_error_2020-07-13_2020-08-22,perc_error_2020-07-20_2020-08-29,perc_error_2020-07-27_2020-09-05
YYG-ParamSearch,-0.239,-0.027,0.042,0.314,0.515,0.477,0.264,0.197,0.026,-0.273,-0.254,-0.366,-0.152,-0.141,-0.054
IHME-CurveFit,-0.614,-0.681,0.117,0.157,0.252,,-0.129,-0.055,-0.040,-0.253,-0.328,-0.335,,-0.080,-0.090
Baseline,0.350,0.466,0.572,0.739,0.729,0.638,0.403,0.312,0.054,-0.234,-0.044,-0.463,-0.242,-0.248,-0.083
LANL-GrowthRate,,0.236,0.061,-0.272,-0.151,0.047,-0.106,-0.102,-0.116,-0.247,-0.321,-0.610,-0.501,-0.494,-0.488
Covid19Sim-Simulator,,,,,,-0.359,-0.507,-0.559,-0.174,-0.303,-0.260,-0.171,-0.204,-0.105,-0.058
UCLA-SuEIR,,,-0.190,-0.003,0.102,-0.077,-0.255,-0.305,-0.508,-0.611,-0.505,-0.550,-0.344,-0.311,-0.112
IowaStateLW-STEM,,,-0.392,,-0.184,-0.066,-0.126,-0.311,-0.285,-0.423,-0.764,-0.120,-0.314,-0.342,-0.267
USACE-ERDC_SEIR,,,,,-0.334,-0.335,-0.472,-0.484,-0.234,-0.254,-0.161,-0.109,-0.050,1.062,0.403
PSI-DRAFT,,,,,0.492,0.198,0.079,0.335,0.021,-0.291,-0.363,-0.494,-0.402,0.225,1.019
CovidAnalytics-DELPHI,,,0.214,,,,,,,,,0.093,-0.072,-0.116,-0.048
Columbia_UNC-SurvCon,,,,,,,,,,,,0.478,0.246,-0.159,-0.202
NotreDame-mobility,,,,,,,,,,-0.598,0.067,-0.642,-0.450,-0.302,-0.258
USC-SI_kJalpha,,,,,,,,,,,0.168,0.862,0.881,-0.175,-0.391
QJHong-Encounter,,,,,,,,,,,,,0.482,,0.191
STH-3PU,,,,,,,,,-0.916,-0.966,-0.977,-0.980,-0.988,-0.311,0.467
MITCovAlliance-SIR,,,,,,,,,,,,-0.524,-0.599,-0.582,-0.592
CovidActNow-SEIR_CAN,,,,,,,,,,,,-0.136,,,
CU-select,0.175,0.203,0.651,0.737,,,,,,,,,,,
SWC-TerminusCM,,,,,,,-0.223,,,,-0.575,,,,
UT-Mobility,-0.701,-0.440,2.470,,,,,,,,,,,,
Auquan-SEIR,,,,,,,,,,,,-0.588,,,
