,mean_abs_error_2020-04-20_2020-05-23,mean_abs_error_2020-04-27_2020-05-23,mean_abs_error_2020-05-04_2020-05-23,mean_abs_error_2020-05-11_2020-05-23,mean_abs_error_2020-05-18_2020-05-23,mean_sq_abs_error_2020-04-20_2020-05-23,mean_sq_abs_error_2020-04-27_2020-05-23,mean_sq_abs_error_2020-05-04_2020-05-23,mean_sq_abs_error_2020-05-11_2020-05-23,mean_sq_abs_error_2020-05-18_2020-05-23
YYG-ParamSearch,336.3,233.2,97.1,50.8,25.0,385134.5,229372.7,30643.2,9199.7,1739.2
LANL-GrowthRate,477.8,317.5,126.1,65.8,32.5,2021204.7,498997.7,66148.9,15944.8,3260.9
COVIDhub-ensemble,,190.3,82.1,65.9,37.3,,134082.2,16333.9,20830.9,4893.7
Baseline,482.4,338.4,174.2,101.0,32.8,3858798.6,1161000.7,239270.9,56475.9,4345.2
CU-select,504.4,324.9,135.7,79.6,70.0,1188671.5,430484.5,57075.9,16125.7,30726.4
UMass-MechBayes,,757.2,203.3,60.9,28.1,,2567751.6,189393.1,9446.6,2200.2
COVIDhub-baseline,,331.9,174.5,137.1,35.6,,840969.3,183651.3,148660.7,4931.5
IHME-CurveFit,679.0,551.6,190.6,104.0,61.1,1879149.8,1419337.9,149045.4,56651.2,14484.8
UCLA-SuEIR,,,223.7,116.1,28.8,,,283205.8,128463.2,2371.7
UT-Mobility,825.4,548.5,337.4,89.8,37.7,4489997.3,2566226.4,1551594.1,40117.0,5172.8
CovidAnalytics-DELPHI,,259.0,244.1,153.5,73.1,,252026.3,236418.0,76255.6,16921.9
IowaStateLW-STEM,,233.2,255.7,,93.6,,128315.1,566205.6,,44543.4
MOBS-GLEAM_COVID,,410.1,293.0,172.0,43.4,,594381.5,313942.2,209139.5,7510.2
USACE-ERDC_SEIR,,,,,80.6,,,,,33433.0
PSI-DRAFT,,,,,90.3,,,,,97935.5
Auquan-SEIR,,,,,143.2,,,,,95140.4
JHU_IDD-CovidSP,,,,,374.0,,,,,699041.1
