,mean_abs_error_2020-05-25_2020-09-26,mean_abs_error_2020-06-01_2020-09-26,mean_abs_error_2020-06-08_2020-09-26,mean_abs_error_2020-06-15_2020-09-26,mean_abs_error_2020-06-22_2020-09-26,mean_abs_error_2020-06-29_2020-09-26,mean_abs_error_2020-07-06_2020-09-26,mean_abs_error_2020-07-13_2020-09-26,mean_abs_error_2020-07-20_2020-09-26,mean_abs_error_2020-07-27_2020-09-26,mean_abs_error_2020-08-03_2020-09-26,mean_abs_error_2020-08-10_2020-09-26,mean_abs_error_2020-08-17_2020-09-26,mean_abs_error_2020-08-24_2020-09-26,mean_abs_error_2020-08-31_2020-09-26,mean_abs_error_2020-09-07_2020-09-26,mean_abs_error_2020-09-14_2020-09-26,mean_abs_error_2020-09-21_2020-09-26,mean_sq_abs_error_2020-05-25_2020-09-26,mean_sq_abs_error_2020-06-01_2020-09-26,mean_sq_abs_error_2020-06-08_2020-09-26,mean_sq_abs_error_2020-06-15_2020-09-26,mean_sq_abs_error_2020-06-22_2020-09-26,mean_sq_abs_error_2020-06-29_2020-09-26,mean_sq_abs_error_2020-07-06_2020-09-26,mean_sq_abs_error_2020-07-13_2020-09-26,mean_sq_abs_error_2020-07-20_2020-09-26,mean_sq_abs_error_2020-07-27_2020-09-26,mean_sq_abs_error_2020-08-03_2020-09-26,mean_sq_abs_error_2020-08-10_2020-09-26,mean_sq_abs_error_2020-08-17_2020-09-26,mean_sq_abs_error_2020-08-24_2020-09-26,mean_sq_abs_error_2020-08-31_2020-09-26,mean_sq_abs_error_2020-09-07_2020-09-26,mean_sq_abs_error_2020-09-14_2020-09-26,mean_sq_abs_error_2020-09-21_2020-09-26
YYG-ParamSearch,,,,861.0,710.3,648.4,514.4,329.9,323.9,259.2,173.6,149.7,104.9,95.2,72.6,59.2,50.1,26.2,,,,3687444.2,2642883.6,2432951.4,1862714.3,464493.0,431564.8,177275.4,69091.2,67178.8,26915.7,32327.5,22799.8,15312.9,9999.7,2504.6
UCLA-SuEIR,,,,,1063.6,1028.8,871.2,541.5,459.2,309.2,233.0,231.6,177.9,122.9,92.6,67.1,42.3,25.3,,,,,5687367.1,4570229.9,4119980.8,1355953.9,1178808.1,378203.2,261801.5,204733.6,87694.9,42852.6,17718.4,15349.0,5782.0,1760.3
USC-SI_kJalpha,,,,,,993.9,,,,,269.1,234.9,149.2,147.5,95.7,63.1,45.4,25.4,,,,,,7981637.7,,,,,223822.7,185368.3,55544.1,88684.3,38371.5,12590.1,5298.1,2401.9
Auquan-SEIR,,,,,,,,,,,,,176.0,153.0,,,,,,,,,,,,,,,,,108412.2,89011.7,,,,
Baseline,2126.4,1726.4,1600.3,1262.2,1036.7,1366.1,830.5,587.4,424.0,257.3,367.0,267.2,235.8,158.5,107.4,68.2,41.1,24.5,14585271.8,9281306.6,8078057.1,6057858.1,4563287.5,16316521.6,3682182.5,1528167.3,595591.5,219337.2,993761.1,507995.2,296227.5,149058.2,33026.6,19406.3,5885.4,1941.7
Karlen-pypm,,,,,,,,,,,,,,152.3,102.0,66.8,46.4,20.8,,,,,,,,,,,,,,162391.7,48529.1,18014.2,8128.4,2174.9
COVIDhub-ensemble,,,,,,,,,,,,,,,74.0,50.3,42.5,21.6,,,,,,,,,,,,,,,16637.8,11051.4,6393.7,1941.5
OliverWyman-Navigator,,,,,,,,,,,,,,,94.5,50.0,42.5,20.3,,,,,,,,,,,,,,,30427.6,10273.0,5392.7,1384.6
CMU-TimeSeries,,,,,,,,,,,,,,,59.9,49.1,46.7,23.0,,,,,,,,,,,,,,,9261.8,10473.7,6179.8,1583.0
JCB-PRM,,,,,,,,,,,,,,,77.7,59.6,46.3,21.7,,,,,,,,,,,,,,,25819.4,13422.5,8928.2,2323.4
