,mean_abs_error_2020-09-21_2021-02-20,mean_abs_error_2020-09-28_2021-02-20,mean_abs_error_2020-10-05_2021-02-20,mean_abs_error_2020-10-12_2021-02-20,mean_abs_error_2020-10-19_2021-02-20,mean_abs_error_2020-10-26_2021-02-20,mean_abs_error_2020-11-02_2021-02-20,mean_abs_error_2020-11-09_2021-02-20,mean_abs_error_2020-11-16_2021-02-20,mean_abs_error_2020-11-23_2021-02-20,mean_abs_error_2020-11-30_2021-02-20,mean_abs_error_2020-12-07_2021-02-20,mean_abs_error_2020-12-14_2021-02-20,mean_abs_error_2020-12-21_2021-02-20,mean_abs_error_2020-12-28_2021-02-20,mean_abs_error_2021-01-04_2021-02-20,mean_abs_error_2021-01-11_2021-02-20,mean_abs_error_2021-01-18_2021-02-20,mean_abs_error_2021-01-25_2021-02-20,mean_abs_error_2021-02-01_2021-02-20,mean_abs_error_2021-02-08_2021-02-20,mean_abs_error_2021-02-15_2021-02-20,mean_sq_abs_error_2020-09-21_2021-02-20,mean_sq_abs_error_2020-09-28_2021-02-20,mean_sq_abs_error_2020-10-05_2021-02-20,mean_sq_abs_error_2020-10-12_2021-02-20,mean_sq_abs_error_2020-10-19_2021-02-20,mean_sq_abs_error_2020-10-26_2021-02-20,mean_sq_abs_error_2020-11-02_2021-02-20,mean_sq_abs_error_2020-11-09_2021-02-20,mean_sq_abs_error_2020-11-16_2021-02-20,mean_sq_abs_error_2020-11-23_2021-02-20,mean_sq_abs_error_2020-11-30_2021-02-20,mean_sq_abs_error_2020-12-07_2021-02-20,mean_sq_abs_error_2020-12-14_2021-02-20,mean_sq_abs_error_2020-12-21_2021-02-20,mean_sq_abs_error_2020-12-28_2021-02-20,mean_sq_abs_error_2021-01-04_2021-02-20,mean_sq_abs_error_2021-01-11_2021-02-20,mean_sq_abs_error_2021-01-18_2021-02-20,mean_sq_abs_error_2021-01-25_2021-02-20,mean_sq_abs_error_2021-02-01_2021-02-20,mean_sq_abs_error_2021-02-08_2021-02-20,mean_sq_abs_error_2021-02-15_2021-02-20
UCLA-SuEIR,,,,,,,,,3653.3,2249.6,2327.1,1722.1,1550.1,1282.5,1371.4,923.3,637.0,409.3,393.2,225.7,154.8,,,,,,,,,,36685897.4,20314811.5,21368452.4,12514251.0,10867356.3,6940327.0,8912648.0,3590563.3,1169999.7,512468.2,487090.7,111581.8,77467.7,
Karlen-pypm,,,,,,,,,,,,,,,,,,411.1,323.0,188.9,137.6,69.1,,,,,,,,,,,,,,,,,,391969.7,349682.3,98211.9,85664.3,29946.0
Baseline,3644.0,3610.3,3737.8,3697.7,3745.7,3512.7,3453.8,3219.1,2867.8,2320.7,2310.1,1745.1,1653.7,1229.3,1052.7,837.3,560.4,420.7,323.4,294.1,233.3,76.1,29563815.7,30750117.3,32231629.3,33595283.9,35309840.6,33643026.3,34064463.4,30209605.7,27266818.8,19996109.4,21201463.8,12625357.5,9842738.1,4981882.0,4968005.7,2227066.4,810333.8,474112.4,280917.1,281441.7,271003.8,27110.5
UMass-MechBayes,,,,,,,,,,,,,,,,,,,228.5,140.1,102.3,55.9,,,,,,,,,,,,,,,,,,,246476.5,76650.8,32249.4,13310.4
LANL-GrowthRate,,,,,,,,,,,,,,,,,939.1,847.5,323.6,194.6,125.8,73.8,,,,,,,,,,,,,,,,,2644289.3,3265722.3,390417.4,87178.8,57043.4,25966.1
RobertWalraven-ESG,,,,,,,,,,,,,,,,,,,251.1,143.7,90.3,57.7,,,,,,,,,,,,,,,,,,,193506.8,57752.1,23444.0,16766.2
Covid19Sim-Simulator,,,4095.2,3468.7,3819.3,2568.4,2299.5,2453.2,,2158.9,1766.4,1300.6,900.2,720.5,870.5,749.0,523.1,456.6,355.9,199.0,195.7,250.9,,,47184980.7,29600674.9,38851989.3,22526661.2,20453066.4,19861988.1,,14493716.0,11086736.0,5231009.4,2777170.0,1400773.9,2690446.0,1659945.3,943006.7,726982.9,306291.7,102786.9,120564.2,422180.0
Google_Harvard-CPF,,,,,,,,,,,,,,,,,,,266.7,164.9,115.5,72.6,,,,,,,,,,,,,,,,,,,173291.6,51899.3,27320.8,19598.3
OliverWyman-Navigator,,,,,,,,,,,,,,,,,,,271.4,181.5,120.5,57.2,,,,,,,,,,,,,,,,,,,257697.7,116121.2,60165.5,13561.9
COVIDhub-ensemble,,,,,,,,,,,,,,,,,,,243.4,155.7,130.5,76.8,,,,,,,,,,,,,,,,,,,156937.3,61867.2,54641.1,26363.6
USC-SI_kJalpha,,,,,,,,,,,,,,,,,,,314.8,154.7,120.2,109.4,,,,,,,,,,,,,,,,,,,296987.2,73363.7,53388.4,85951.4
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,,,256.6,170.4,128.8,,,,,,,,,,,,,,,,,,,,167199.8,77502.9,46379.5,
COVIDhub-baseline,,,,,,,,,,,,,,,1023.5,871.8,579.4,464.0,334.1,320.3,291.1,184.2,,,,,,,,,,,,,,,4570072.3,2300169.8,847297.3,611780.1,307909.7,346528.6,349360.2,422327.8
UA-EpiCovDA,,,,,,,,,,,,,,,,,,,378.2,211.9,135.4,70.1,,,,,,,,,,,,,,,,,,,320675.6,113317.3,63612.6,18234.0
GT-DeepCOVID,,,,,,,,,,,,,,,,,,,321.3,142.2,148.3,119.2,,,,,,,,,,,,,,,,,,,251791.0,46187.1,71903.5,117538.9
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,,258.1,220.9,165.7,99.2,,,,,,,,,,,,,,,,,,,155586.2,151102.1,80996.7,37116.4
LNQ-ens1,,,,,,,,,,,,,,,,,,,390.4,175.1,136.0,84.3,,,,,,,,,,,,,,,,,,,490802.7,94311.7,72237.5,56780.6
CovidAnalytics-DELPHI,,,,,,,,,,,,,,,,,1235.0,1117.6,622.5,266.7,142.5,78.2,,,,,,,,,,,,,,,,,7201445.2,7008399.9,2179840.4,208407.4,71463.6,29867.2
CU-select,,,,,,,,,,,,,,,,,,,468.6,289.7,114.3,64.4,,,,,,,,,,,,,,,,,,,813072.7,260046.5,42492.8,17495.4
JHU_IDD-CovidSP,,,,,,,,,,,,,,,,,666.3,469.3,396.2,332.9,247.0,161.6,,,,,,,,,,,,,,,,,1263802.2,710620.3,394831.0,266149.6,178634.5,128669.7
