,perc_error_2020-04-20_2020-06-13,perc_error_2020-04-27_2020-06-13,perc_error_2020-05-04_2020-06-13,perc_error_2020-05-11_2020-06-13,perc_error_2020-05-18_2020-06-13,perc_error_2020-05-25_2020-06-13,perc_error_2020-06-01_2020-06-13,perc_error_2020-06-08_2020-06-13
UCLA-SuEIR,,,-0.183,0.021,0.158,0.020,-0.064,-0.004
LANL-GrowthRate,,0.233,0.069,-0.238,-0.090,0.075,0.012,0.079
UMass-MechBayes,,,,,0.000,-0.009,0.064,-0.002
Baseline_0.98,-0.043,0.025,0.089,0.193,0.185,0.118,0.025,0.039
MIT_CovidAnalytics-DELPHI,,,0.224,0.367,0.234,0.051,-0.022,0.072
YYG-ParamSearch,,,0.050,0.253,0.326,0.222,0.053,-0.013
MOBS_NEU-GLEAM_COVID,,,,,0.017,0.021,-0.042,-0.089
COVIDhub-ensemble,,,,,-0.064,0.148,0.081,0.034
GT-DeepCOVID,,,,,-0.257,0.045,0.035,-0.097
PSI-DRAFT,,,,,0.318,-0.009,0.007,-0.922
IowaStateLW-STEM,,,-0.388,,-0.042,0.093,0.258,0.308
CU-select,,,0.664,0.424,0.164,0.146,0.369,0.094
IHME-CurveFit,-0.664,-0.703,0.126,0.188,0.310,,-0.065,-0.187
Baseline,0.569,0.585,0.585,0.633,0.522,0.345,0.154,0.092
UT-Mobility,,,2.498,,-0.417,0.171,-0.103,-0.121
COVIDhub-baseline,,,,,0.534,0.406,0.192,0.104
Geneva-DetGrowth,,,,,,,,0.017
OliverWyman-Navigator,,,,,,,,-0.020
USACE-ERDC_SEIR,,,,,-0.310,-0.295,-0.705,-1.236
Imperial-combined,,,,,,,,0.079
JHU_IDD-CovidSP,,,,,2.090,0.777,0.460,0.309
Covid19Sim-Simulator,,,,,,-0.388,-0.606,-0.905
UA-EpiCovDA,,,,,,0.426,0.643,0.529
SWC-TerminusCM,,,,,,,-0.255,
Auquan-SEIR,,,,,,,1.072,3.827
CovidActNow-SEIR_CAN,,,,,,,,24.681
