,perc_error_2020-05-25_2020-10-03,perc_error_2020-06-01_2020-10-03,perc_error_2020-06-08_2020-10-03,perc_error_2020-06-15_2020-10-03,perc_error_2020-06-22_2020-10-03,perc_error_2020-06-29_2020-10-03,perc_error_2020-07-06_2020-10-03,perc_error_2020-07-13_2020-10-03,perc_error_2020-07-20_2020-10-03,perc_error_2020-07-27_2020-10-03,perc_error_2020-08-03_2020-10-03,perc_error_2020-08-10_2020-10-03,perc_error_2020-08-17_2020-10-03,perc_error_2020-08-24_2020-10-03,perc_error_2020-08-31_2020-10-03,perc_error_2020-09-07_2020-10-03,perc_error_2020-09-14_2020-10-03,perc_error_2020-09-21_2020-10-03,perc_error_2020-09-28_2020-10-03
UCLA-SuEIR,,,,,,-0.627,-0.607,-0.400,-0.336,-0.131,0.027,-0.231,-0.044,-0.079,-0.036,-0.063,-0.141,-0.026,0.023
STH-3PU,,,,-0.478,-0.710,-0.772,-0.772,-0.800,-0.143,0.491,1.621,0.000,0.005,-0.022,-0.031,-0.648,0.013,-0.023,
USC-SI_kJalpha,,,,,,-0.096,,,,,,-0.256,-0.212,-0.186,-0.010,0.057,-0.126,-0.084,0.092
Baseline,0.413,0.165,0.074,-0.103,-0.277,-0.028,-0.418,-0.158,-0.154,0.021,0.302,0.246,0.238,0.208,0.152,0.109,-0.052,0.006,-0.025
QJHong-Encounter,,,,,,,,,,,,,,-0.014,-0.097,-0.056,-0.163,-0.139,-0.007
Columbia_UNC-SurvCon,,,,,,,,,,,,-0.316,-0.034,-0.166,-0.043,0.101,-0.065,-0.037,0.171
CovidAnalytics-DELPHI,,,,,,,,,,,,,-0.145,0.008,-0.017,-0.062,-0.140,-0.165,-0.187
IowaStateLW-STEM,,-0.515,-0.726,-0.563,-0.539,-0.810,-0.143,-0.215,-0.319,-0.244,-0.118,,-0.110,0.003,0.047,-0.037,0.090,0.220,-0.371
Karlen-pypm,,,,,,,,,,,,,,,0.003,-0.085,-0.147,-0.104,-0.016
DDS-NBDS,,,,,,,,,,,,,,,,0.015,-0.016,-0.034,-0.046
NotreDame-mobility,,,,,,,,,,,,,,0.167,-0.174,0.007,-0.081,-0.254,-0.232
LNQ-ens1,,,,,,,,,,,,,,,,-0.010,-0.140,-0.016,0.070
COVIDhub-ensemble,,,,,,,,,,,,,,,,-0.001,-0.137,-0.052,-0.030
GT-DeepCOVID,,,,,,,,,,,,,,,,0.043,-0.079,-0.006,0.130
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,-0.005,-0.142,0.014,0.104
YYG-ParamSearch,,,,,,,,-0.044,-0.136,-0.048,0.049,0.060,0.007,-0.110,-0.121,-0.132,-0.221,-0.176,-0.077
JHU_IDD-CovidSP,,,,,,,,,,,,,,,0.283,0.150,0.083,0.042,0.068
OliverWyman-Navigator,,,,,,,,,,,,,,,,-0.050,-0.160,-0.009,0.101
UMass-MechBayes,,,,,,,,,,,,,,,,-0.099,-0.134,-0.052,-0.043
COVIDhub-baseline,,,,,,,,,,,,,,,,0.112,-0.024,0.084,0.071
RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,0.162,0.022,-0.046,0.076
PSI-DRAFT,,,,,,,,,,,,,,0.233,0.152,0.180,-0.212,-0.126,-0.067
UA-EpiCovDA,,,,,,,,,,,,,,,,0.271,0.151,0.019,-0.018
MIT_CritData-GBCF,,,,,,,,,,,,,,,,-0.067,-0.314,-0.034,0.021
CEID-Walk,,,,,,,,,,,,,,,,0.122,-0.031,0.110,0.071
JCB-PRM,,,,,,,,,,,,,,,,-0.058,-0.150,-0.100,-0.079
CU-select,,,,,,,,,,,,,,,,0.066,-0.186,-0.107,-0.116
USACE-ERDC_SEIR,,,,,,,,,,,,0.299,0.297,0.171,0.236,0.258,0.201,0.225,0.203
Covid19Sim-Simulator,-0.566,-0.605,-0.614,-0.411,-0.414,0.191,0.236,0.195,0.164,0.149,0.012,,-0.487,-0.621,0.068,-0.083,-0.177,-0.336,-0.501
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,-0.095,-0.166,-0.095,0.197
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,-0.132,-0.161,-0.036,0.257
Auquan-SEIR,,,,,,,,,,,,,-0.435,-0.316,,,,,
