,perc_error_2020-05-25_2020-10-10,perc_error_2020-06-01_2020-10-10,perc_error_2020-06-08_2020-10-10,perc_error_2020-06-15_2020-10-10,perc_error_2020-06-22_2020-10-10,perc_error_2020-06-29_2020-10-10,perc_error_2020-07-06_2020-10-10,perc_error_2020-07-13_2020-10-10,perc_error_2020-07-20_2020-10-10,perc_error_2020-07-27_2020-10-10,perc_error_2020-08-03_2020-10-10,perc_error_2020-08-10_2020-10-10,perc_error_2020-08-17_2020-10-10,perc_error_2020-08-24_2020-10-10,perc_error_2020-08-31_2020-10-10,perc_error_2020-09-07_2020-10-10,perc_error_2020-09-14_2020-10-10,perc_error_2020-09-21_2020-10-10,perc_error_2020-09-28_2020-10-10,perc_error_2020-10-05_2020-10-10
USC-SI_kJalpha,,,,,,,,,,,,,-0.258,-0.238,-0.050,0.019,-0.152,-0.037,0.126,0.042
UCLA-SuEIR,,,,,,,-0.613,-0.409,-0.347,-0.141,0.007,-0.257,-0.071,-0.103,-0.062,-0.096,-0.167,-0.069,-0.042,-0.029
Baseline,0.423,0.173,0.082,-0.096,-0.270,-0.017,-0.410,-0.145,-0.138,0.040,0.326,0.268,0.259,0.227,0.168,0.124,-0.033,0.034,0.015,-0.082
IowaStateLW-STEM,,,-0.733,-0.563,-0.536,-0.810,-0.138,-0.198,-0.315,-0.239,-0.120,,-0.117,-0.006,0.038,-0.048,0.091,0.183,-0.307,0.010
QJHong-Encounter,,,,,,,,,,,,,,,-0.130,-0.072,-0.191,-0.134,0.003,0.023
Columbia_UNC-SurvCon,,,,,,,,,,,,,-0.063,-0.209,-0.070,0.117,-0.066,-0.057,0.186,0.157
Karlen-pypm,,,,,,,,,,,,,,,,-0.107,-0.167,-0.122,-0.044,0.012
STH-3PU,,,,-0.440,-0.692,-0.759,-0.754,-0.780,-0.066,0.457,1.549,-0.001,0.003,-0.021,-0.030,-0.661,0.005,-0.039,,-0.086
COVIDhub-baseline,,,,,,,,,,,,,,,,,-0.011,0.094,0.057,-0.017
RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,0.041,-0.032,0.065,-0.035
JHU_IDD-CovidSP,,,,,,,,,,,,,,,,0.179,0.100,0.048,0.045,-0.113
LNQ-ens1,,,,,,,,,,,,,,,,,-0.153,-0.017,0.077,0.011
UMass-MechBayes,,,,,,,,,,,,,,,,,-0.148,-0.040,-0.009,-0.032
CovidAnalytics-DELPHI,,,,,,,,,,,,,,-0.015,-0.046,-0.094,-0.168,-0.188,-0.200,-0.170
JCB-PRM,,,,,,,,,,,,,,,,-0.077,-0.163,-0.104,-0.091,-0.048
NotreDame-mobility,,,,,,,,,,,,,,,-0.165,0.065,-0.084,-0.225,-0.212,-0.222
COVIDhub-ensemble,,,,,,,,,,,,,,,,,-0.124,-0.040,0.007,-0.078
YYG-ParamSearch,,,,,,,,-0.044,-0.146,-0.057,0.035,0.043,-0.011,-0.129,-0.148,-0.162,-0.245,-0.186,-0.046,-0.057
CU-select,,,,,,,,,,,,,,,,,-0.103,0.019,-0.040,-0.128
CEID-Walk,,,,,,,,,,,,,,,,,-0.011,0.121,0.055,-0.040
GT-DeepCOVID,,,,,,,,,,,,,,,,,-0.025,0.040,0.140,0.032
OliverWyman-Navigator,,,,,,,,,,,,,,,,,-0.179,-0.002,0.128,0.011
DDS-NBDS,,,,,,,,,,,,,,,,,0.018,0.002,-0.110,-0.203
Covid19Sim-Simulator,-0.565,-0.601,-0.608,-0.410,-0.410,0.283,0.307,0.261,0.205,0.181,0.022,,-0.471,-0.603,0.012,-0.113,-0.190,-0.250,-0.220,-0.424
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,-0.129,0.012,0.147,0.175
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,-0.271,-0.085,-0.033,0.043
UA-EpiCovDA,,,,,,,,,,,,,,,,,0.181,0.159,0.089,0.021
PSI-DRAFT,,,,,,,,,,,,,,,0.181,0.235,-0.224,-0.139,-0.099,-0.224
UT-Mobility,,,,,,,,,,,,,,,,,-0.065,-0.056,-0.301,-0.146
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,-0.161,-0.024,0.271,-0.193
JHUAPL-Bucky,,,,,,,,,,,,,,,,,-0.289,-0.202,-0.069,-0.032
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,-0.168,-0.091,0.198,-0.099
IHME-CurveFit,,,-0.046,0.035,-0.162,-0.379,-0.269,,-0.071,-0.102,-0.004,0.209,,0.350,0.424,0.291,,-0.267,0.014,
IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,0.070,-0.010
USACE-ERDC_SEIR,,,,,,,,,,,,,0.262,0.131,0.228,0.278,0.216,0.293,0.320,
WalmartLabsML-LogForecasting,,,,,,,,,,,,,,-0.198,-0.363,-0.321,-0.306,-0.270,-0.227,-0.194
UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,,-0.193,-0.204,-0.236,-0.273,0.619
LANL-GrowthRate,,,,,,,,,,,,,,-0.425,-0.414,-0.439,-0.304,-0.248,-0.286,-0.222
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,0.467,0.505,0.228,0.094
